id_produit;reference;libelle;famille;sous_famille;unite;prix_unitaire;taux_tva;actif;date_lancement
PRD-0128;OUT-0128;Électroportatif économique;Outillage;Électroportatif;lot de 10;185.02;5.5;oui;2017-07-08
PRD-0129;EMB-0129;Film économique;Emballage;Film;carton;32.32;20;oui;2026-05-30
PRD-0130;EMB-0130;Carton professionnel;Emballage;Carton;lot de 10;9.94;20;oui;2025-04-29
PRD-0131;EMB-0131;Film recyclé;Emballage;Film;pièce;14.54;20;non;2017-03-28
PRD-0132;PAP-0132;Écriture standard;Papeterie;Écriture;mètre;2.36;20;oui;2020-10-03
PRD-0133;EMB-0133;Carton standard;Emballage;Carton;palette;16.73;20;oui;2017-07-20
PRD-0134;MOB-0134;Bureau compact;Mobilier;Bureau;pièce;627.92;20;oui;2018-06-05
PRD-0135;ENT-0135;Protection recyclé;Entretien;Protection;palette;79.53;20;oui;2016-12-01
PRD-0136;MOB-0136;Bureau économique;Mobilier;Bureau;lot de 10;64.4;20;oui;2019-02-13
PRD-0137;OUT-0137;Électroportatif économique;Outillage;Électroportatif;carton;599.46;20;oui;2024-03-23
PRD-0138;ENT-0138;Nettoyage économique;Entretien;Nettoyage;lot de 10;79.5;20;oui;2019-12-06
PRD-0139;PAP-0139;Classement grand format;Papeterie;Classement;carton;10.37;20;oui;2023-05-29
PRD-0140;INF-0140;Périphérique recyclé;Informatique;Périphérique;carton;577.61;20;oui;2025-11-09
PRD-0141;ENT-0141;Hygiène compact;Entretien;Hygiène;pièce;32.54;5.5;non;2018-10-28
PRD-0142;EMB-0142;Film premium;Emballage;Film;pièce;14.13;20;oui;2017-11-28
PRD-0143;INF-0143;Consommable standard;Informatique;Consommable;carton;212.9;20;oui;2020-03-21
PRD-0144;INF-0144;Réseau professionnel;Informatique;Réseau;mètre;1782.85;20;oui;2023-10-10
PRD-0145;MOB-0145;Siège professionnel;Mobilier;Siège;pièce;221.36;5.5;oui;2025-07-09
PRD-0146;ENT-0146;Hygiène recyclé;Entretien;Hygiène;mètre;67.78;20;oui;2018-07-18
PRD-0147;PAP0147;Papier économique;Papeterie;Papier;lot de 10;4.13;20;oui;2019-10-06
PRD-0148;PAP-0148;Écriture compact;Papeterie;Écriture;pièce;5.55;20;oui;2026-02-23
PRD-0149;PAP-0149;Papier standard;Papeterie;Papier;pièce;5.61;20;oui;2020-05-17
PRD-0150;OUT-0150;Main renforcé;Outillage;Main;carton;93.49;20;oui;2022-11-29
PRD-0151;OUT-0151;Main recyclé;Outillage;Main;mètre;124.66;5.5;oui;2026-06-04
PRD-0152;INF-0152;Consommable recyclé;Informatique;Consommable;palette;530.77;20;oui;2020-05-03
PRD-0153;PAP-0153;Papier grand format;Papeterie;Papier;palette;5.11;20;oui;2023-02-07
PRD-0154;INF-0154;Réseau recyclé;Informatique;Réseau;lot de 10;1289.28;5.5;oui;2021-04-07
PRD-0155;EMB-0155;Palette compact;Emballage;Palette;mètre;27.98;20;oui;2023-02-14
PRD-0156;INF-0156;Consommable premium;Informatique;Consommable;lot de 10;1310.31;20;oui;2024-04-05
PRD-0157;ENT-0157;Hygiène renforcé;Entretien;Hygiène;mètre;81.39;20;oui;2020-06-07
PRD-0158;MOB-0158;Bureau renforcé;Mobilier;Bureau;mètre;449.01;20;oui;2017-02-03
PRD-0159;INF-0159;Consommable économique;Informatique;Consommable;mètre;276.27;20;oui;2021-08-24
PRD-0160;INF-0160;Périphérique compact;Informatique;Périphérique;pièce;493.39;20;non;2020-10-26
PRD-0161;MOB-0161;Siège recyclé;Mobilier;Siège;palette;216.91;20;oui;2025-03-11
PRD-0162;OUT-0162;Mesure compact;Outillage;Mesure;palette;425.65;20;oui;2024-02-28
PRD-0163;OUT-0163;Mesure grand format;Outillage;Mesure;mètre;422.36;20;oui;2022-03-02
PRD-0164;OUT-0164;Électroportatif recyclé;Outillage;Électroportatif;lot de 10;76.3;20;oui;2026-03-07
PRD-0165;OUT-0165;Mesure renforcé;Outillage;Mesure;pièce;260.45;20;oui;2017-11-08
PRD-0166;OUT-0166;Main renforcé;Outillage;Main;palette;243.67;20;oui;2019-07-10
PRD-0167;MOB-0167;Bureau économique;Mobilier;Bureau;mètre;380.04;20;oui;2025-12-01
PRD-0168;EMB-0168;Palette premium;Emballage;Palette;carton;34.74;20;oui;2019-09-13
PRD-0169;OUT-0169;Mesure premium;Outillage;Mesure;pièce;46.72;20;oui;2020-09-07
PRD-0170;EMB-0170;Film premium;Emballage;Film;pièce;26.78;20;oui;2021-05-22
PRD-0171;OUT-0171;Main compact;Outillage;Main;carton;204.21;5.5;oui;2022-12-06
PRD-0172;MOB-0172;Rangement recyclé;Mobilier;Rangement;pièce;502.43;5.5;non;2026-02-05
PRD-0173;OUT-0173;Électroportatif professionnel;Outillage;Électroportatif;lot de 10;20.89;20;oui;2024-09-25
PRD-0174;pap-0174;Classement grand format;Papeterie;Classement;mètre;14.31;5.5;oui;2022-08-18
PRD-0175;EMB-0175;Film grand format;Emballage;Film;pièce;19.42;5.5;oui;2023-04-02
PRD-0176;ENT-0176;Hygiène économique;Entretien;Hygiène;mètre;59.86;20;oui;2021-06-24
PRD-0177;ENT-0177;Nettoyage premium;Entretien;Nettoyage;carton;103.15;20;oui;2024-12-13
PRD-0178;MOB-0178;Bureau compact;Mobilier;Bureau;pièce;407.96;20;oui;2024-10-04
PRD-0179;INF-0179;Consommable grand format;Informatique;Consommable;carton;369.05;5.5;oui;2025-06-10
PRD-0180;MOB-0180;Siège grand format;Mobilier;Siège;carton;382.49;20;oui;2020-08-09
