id_site;id_client;libelle;type_site;adresse;code_postal;ville;code_insee;region;latitude;longitude;surface_m2;date_ouverture;date_fermeture;actif
SIT-00058;CLI-00051;Usine Sète;Usine;38 chemin des Vignes;34200;Sète;34301;Occitanie;43.4151;3.7464;2588;2018-08-04;;oui
SIT-00059;CLI-00051;Point de vente Calais;Point de vente;132 chemin des Vignes;62100;Calais;62193;Hauts-de-France;50.9273;1.8764;1135;2021-10-27;;oui
SIT-00060;CLI-00052;Siège Roubaix;Siège;158 quai des Docks;59100;Roubaix;59512;Hauts-de-France;50.6401;3.1502;1109;2016-11-12;;oui
SIT-00061;CLI-00052;Point de vente Villeurbanne;Point de vente;93 rue de l’Industrie;69100;Villeurbanne;69266;Auvergne-Rhône-Alpes;45.8195;4.9074;409;2019-02-23;;oui
SIT-00062;CLI-00052;Agence Charleville-Mézières;Agence;104 rue du Commerce;08000;Charleville-Mézières;08105;Grand Est;49.7819;4.712;1062;2016-07-26;;oui
SIT-00063;CLI-00052;Agence Valence;Agence;61 avenue Jean Jaurès;26000;Valence;26362;Auvergne-Rhône-Alpes;44.9048;4.8728;2827;2023-07-27;;oui
SIT-00064;CLI-00053;Siège Brest;Siège;27 rue du Commerce;29200;Brest;29019;Bretagne;48.436;-4.4912;1068;2017-04-19;;oui
SIT-00065;CLI-00053;Entrepôt Belfort;Entrepôt;119 rue Pasteur;90000;Belfort;90010;Bourgogne-Franche-Comté;47.6531;6.8756;1746;2023-03-17;;oui
SIT-00066;CLI-00053;Point de vente Orléans;Point de vente;56 allée des Peupliers;45000;Orléans;45234;Centre-Val de Loire;47.9006;1.8642;1473;2025-01-10;;oui
SIT-00067;CLI-00054;Siège Grasse;Siège;131 avenue de la Gare;06130;Grasse;06069;Provence-Alpes-Côte d’Azur;43.7014;6.9325;875;2020-06-17;;oui
SIT-00068;CLI-00054;Usine Charleville-Mézières;Usine;2 rue du Commerce;08000;Charleville-Mézières;08105;Grand Est;49.7459;4.6784;978;2017-04-03;;oui
SIT-00069;CLI-00054;Usine Cergy;Usine;53 avenue du Général Leclerc;95000;Cergy;95127;Île-de-France;49.0256;2.0267;40;2018-09-11;;oui
SIT-00070;CLI-00054;Entrepôt Pau;Entrepôt;27 chemin des Vignes;64000;Pau;64445;Nouvelle-Aquitaine;43.2576;-0.352;930;2016-08-04;;oui
SIT-00071;CLI-00055;Siège Agen;Siège;68 rue Pasteur;47000;Agen;47001;Nouvelle-Aquitaine;44.2347;0.6592;750;2021-02-14;;oui
SIT-00072;CLI-00055;Point de vente Clermont-Ferrand;Point de vente;61 rue des Acacias;63000;Clermont-Ferrand;63113;Auvergne-Rhône-Alpes;45.7385;3.113;40;2023-06-16;;oui
SIT-00073;CLI-00055;Agence Nevers;Agence;79 quai des Docks;58000;Nevers;58194;Bourgogne-Franche-Comté;47.0112;3.1524;1093;2024-06-10;;oui
SIT-00074;CLI-00057;Siège Amiens;Siège;33 rue des Acacias;80000;Amiens;80021;Hauts-de-France;49.9078;2.3312;40;2023-01-05;;oui
SIT-00075;CLI-00063;Siège Toulon;Siège;72 rue des Acacias;83000;Toulon;83137;Provence-Alpes-Côte d’Azur;43.1679;5.9574;927;2024-05-05;;oui
SIT-00076;CLI-00063;Entrepôt Troyes;Entrepôt;51 route de Bordeaux;10000;Troyes;10387;Grand Est;48.3231;4.0672;40;2025-09-19;;oui
SIT-00077;CLI-00063;Agence Montreuil;Agence;154 route de Bordeaux;93100;Montreuil;93048;Île-de-France;48.8985;2.4379;1127;2019-06-07;;oui
SIT-00078;CLI-00065;Siège Cannes;Siège;136 rue des Acacias;06400;Cannes;06029;Provence-Alpes-Côte d’Azur;43.5462;7.007;2020;2017-11-08;;oui
SIT-00079;CLI-00066;Siège Agen;Siège;11 boulevard Victor Hugo;47000;Agen;47001;Nouvelle-Aquitaine;44.2232;0.6033;483;2021-10-20;;oui
SIT-00080;CLI-00066;Point de vente Gap;Point de vente;79 chemin des Vignes;05000;Gap;05061;Provence-Alpes-Côte d’Azur;44.5364;6.0976;812;2017-09-15;;oui
SIT-00081;CLI-00068;Siège Angoulême;Siège;177 rue de l’Industrie;16000;Angoulême;16015;Nouvelle-Aquitaine;45.6865;0.1593;173;2017-03-29;;oui
SIT-00082;CLI-00069;Siège Grasse;Siège;25 avenue du Général Leclerc;06130;Grasse;06069;Provence-Alpes-Côte d’Azur;43.6765;6.9392;1465;2017-07-20;;oui
SIT-00083;CLI-00070;Siège Saint-Malo;Siège;115 rue de l’Industrie;35400;Saint-Malo;35288;Bretagne;48.6993;-1.9893;1968;2017-11-13;;oui
SIT-00084;CLI-00071;Siège SÈTE;Siège;136 route de Bordeaux;34200;SÈTE;34301;Occitanie;43.4292;3.7359;777;2018-10-20;;oui
SIT-00085;CLI-00072;Siège Périgueux;Siège;26 allée des Peupliers;24000;Périgueux;24322;Nouvelle-Aquitaine;45.1505;0.7186;72;2016-12-29;;oui
SIT-00086;CLI-00076;Siège Paris;Siège;35 impasse des Lilas;75001;Paris;75056;Île-de-France;48.9096;2.3162;567;2025-12-24;;oui
SIT-00087;CLI-00079;Siège Quimper;Siège;4 chemin des Vignes;29000;Quimper;29232;Bretagne;47.9763;-4.1484;914;2018-03-10;;oui
SIT-00088;CLI-00079;Entrepôt Auxerre;Entrepôt;64 rue de la République;89000;Auxerre;89024;Bourgogne-Franche-Comté;47.7818;3.557;923;2018-12-17;;oui
SIT-00089;CLI-00080;Siège Beauvais;Siège;49 rue de la République;60000;Beauvais;60057;Hauts-de-France;49.4556;2.0758;40;2022-05-31;;oui
SIT-00090;CLI-00080;Agence Quimper;Agence;42 chemin des Vignes;29000;Quimper;29232;Bretagne;47.9607;-4.0868;40;2017-03-01;;oui
SIT-00091;CLI-00081;Siège Valence;Siège;34 allée des Peupliers;26000;Valence;26362;Auvergne-Rhône-Alpes;44.932;4.8563;241;2019-12-07;;oui
SIT-00092;CLI-00082;Siège Montpellier;Siège;154 route de Bordeaux;34000;Montpellier;34172;Occitanie;43.5796;3.8915;978;2018-09-08;;oui
SIT-00093;CLI-00082;Point de vente Saint-Denis;Point de vente;26 impasse des Lilas;93200;Saint-Denis;93066;Île-de-France;48.9042;2.3519;1753;2025-01-02;;oui
SIT-00094;CLI-00082;Agence Gap;Agence;73 place du Marché;05000;Gap;05061;Provence-Alpes-Côte d’Azur;44.5807;6.1044;588;2020-06-16;;oui
SIT-00095;CLI-00082;Agence Grenoble;Agence;87 rue Pasteur;38000;Grenoble;38185;Auvergne-Rhône-Alpes;45.1518;5.7084;2108;2024-09-09;;oui
SIT-00096;CLI-00083;Siège Fréjus;Siège;132 boulevard Victor Hugo;83600;Fréjus;83061;Provence-Alpes-Côte d’Azur;43.4102;6.742;1004;2023-07-12;;oui
SIT-00097;CLI-00085;Siège La Rochelle;Siège;34 allée des Peupliers;17000;La Rochelle;17300;Nouvelle-Aquitaine;46.1104;-1.17;323;2018-01-30;;oui
SIT-00098;CLI-00086;Siège Niort;Siège;109 avenue du Général Leclerc;79000;Niort;79191;Nouvelle-Aquitaine;46.3078;-0.481;537;2025-01-14;;oui
SIT-00099;CLI-00086;Point de vente Arles;Point de vente;114 place du Marché;13200;Arles;13004;Provence-Alpes-Côte d’Azur;43.6893;4.6753;1560;2021-07-04;;oui
SIT-00100;CLI-00086;Entrepôt Boulogne-Billancourt;Entrepôt;48 place du Marché;92100;Boulogne-Billancourt;92012;Île-de-France;48.7995;2.2235;1266;2023-04-09;;oui
SIT-00101;CLI-00086;Point de vente Colmar;Point de vente;144 avenue Jean Jaurès;68000;Colmar;68066;Grand Est;48.0793;7.347;1539;2022-04-14;;oui
SIT-00102;CLI-00089;Siège amiens;Siège;33 rue de la République;80000;amiens;80021;Hauts-de-France;49.8461;2.2516;108;2023-06-20;;oui
SIT-00103;CLI-00091;Siège Chalon-sur-Saône;Siège;34 rue Pasteur;71100;Chalon-sur-Saône;71076;Bourgogne-Franche-Comté;46.8029;4.8307;2220;2025-11-14;;oui
SIT-00104;CLI-00094;Siège Cergy;Siège;16 rue du Commerce;95000;Cergy;95127;Île-de-France;49.0294;2.0585;555;2021-01-27;;oui
SIT-00105;CLI-00094;Point de vente Fréjus;Point de vente;179 rue Pasteur;83600;Fréjus;83061;Provence-Alpes-Côte d’Azur;43.435;6.7673;741;2017-11-20;;oui
SIT-00106;CLI-00094;Usine Niort;Usine;42 rue Pasteur;79000;Niort;79191;Nouvelle-Aquitaine;46.3171;-0.4803;1180;2021-01-28;;oui
SIT-00107;CLI-00095;Siège Villeurbanne;Siège;130 rue du Commerce;69100;Villeurbanne;69266;Auvergne-Rhône-Alpes;45.7547;4.8823;554;2019-12-24;2022-11-22;non
SIT-00108;CLI-00095;Usine Tours;Usine;129 boulevard Victor Hugo;37000;Tours;37261;Centre-Val de Loire;47.3664;0.663;40;2018-12-16;;oui
SIT-00109;CLI-00095;Usine Salon-de-Provence;Usine;28 rue Pasteur;13300;Salon-de-Provence;13103;Provence-Alpes-Côte d’Azur;43.6585;5.1343;1430;2025-03-06;;oui
SIT-00110;CLI-00097;Siège Nanterre;Siège;165 allée des Peupliers;92000;Nanterre;92050;Île-de-France;48.8679;2.2444;777;2022-04-10;;oui
SIT-00111;CLI-00098;Siège Dijon;Siège;151 avenue de la Gare;21000;Dijon;21231;Bourgogne-Franche-Comté;47.3442;5.0643;365;2017-10-22;;oui
SIT-00112;CLI-00098;Usine Montpellier;Usine;153 avenue de la Gare;34000;Montpellier;34172;Occitanie;43.5884;3.8859;764;2023-09-12;;oui
SIT-00113;CLI-00099;Siège Dunkerque;Siège;135 avenue du Général Leclerc;59140;Dunkerque;59183;Hauts-de-France;51.0729;2.3718;139;2020-12-26;2023-10-14;non
SIT-00114;CLI-00101;Siège Brest;Siège;176 avenue Jean Jaurès;29200;Brest;29019;Bretagne;48.3787;-4.4879;1098;2022-10-26;;oui
SIT-00115;CLI-00102;Siège Le Havre;Siège;4 rue du Commerce;76600;Le Havre;76351;Normandie;49.5356;0.0869;40;2021-05-26;;oui
SIT-00116;CLI-00103;Siège Rouen;Siège;48 quai des Docks;76000;Rouen;76540;Normandie;49.4361;1.141;510;2020-10-24;;oui
SIT-00117;CLI-00103;Entrepôt Niort;Entrepôt;14 avenue de la Gare;79000;Niort;79191;Nouvelle-Aquitaine;46.277;-0.4135;465;2023-01-12;;oui
SIT-00118;CLI-00103;Usine Pau;Usine;105 avenue de la Gare;64000;Pau;64445;Nouvelle-Aquitaine;43.3402;-0.3859;1138;2019-07-07;;oui
SIT-00119;CLI-00104;Siège Saint-Denis;Siège;20 rue de l’Industrie;93200;Saint-Denis;93066;Île-de-France;48.8904;2.378;901;2019-05-25;2023-11-06;non
SIT-00120;CLI-00107;Siège Lille;Siège;135 chemin des Vignes;59000;Lille;59350;Hauts-de-France;50.6779;3.1001;40;2017-09-13;;oui
SIT-00121;CLI-00108;Siège Aix-en-Provence;Siège;113 rue du Commerce;13100;Aix-en-Provence;13001;Provence-Alpes-Côte d’Azur;43.5711;5.4887;1015;2018-07-31;;oui
SIT-00122;CLI-00108;Usine Dunkerque;Usine;4 rue de la République;59140;Dunkerque;59183;Hauts-de-France;51.049;2.3638;1356;2023-01-16;;oui
SIT-00123;CLI-00108;Point de vente Roanne;Point de vente;59 impasse des Lilas;42300;Roanne;42187;Auvergne-Rhône-Alpes;46.0067;4.0899;1611;2017-08-13;;oui
SIT-00124;CLI-00108;Agence La Rochelle;Agence;141 rue de la République;17000;La Rochelle;17300;Nouvelle-Aquitaine;46.1107;-1.1193;986;2019-01-28;;oui
SIT-00125;CLI-00109;Siège Saint-Nazaire;Siège;91 quai des Docks;44600;Saint-Nazaire;44184;Pays de la Loire;47.246;-2.1882;1203;2020-12-13;;oui
SIT-00126;CLI-00109;Point de vente Le Havre;Point de vente;139 rue des Acacias;76600;Le Havre;76351;Normandie;49.4418;0.1232;694;2020-04-08;2024-10-10;non
SIT-00127;CLI-00110;Siège La Roche-sur-Yon;Siège;147 rue de l’Industrie;85000;La Roche-sur-Yon;85191;Pays de la Loire;46.6273;-1.4613;823;2021-08-05;;oui
SIT-00128;CLI-00111;Siège Mérignac;Siège;83 boulevard Victor Hugo;33700;Mérignac;33281;Nouvelle-Aquitaine;44.8394;-0.6777;532;2018-02-05;;oui
SIT-00129;CLI-00111;Usine Avignon;Usine;91 rue Pasteur;84000;Avignon;84007;Provence-Alpes-Côte d’Azur;43.9382;4.7975;1417;2020-02-07;;oui
SIT-00130;CLI-00111;Usine Narbonne;Usine;165 rue Pasteur;11100;Narbonne;11262;Occitanie;43.134;3.0317;3149;2025-04-24;;oui
SIT-00131;CLI-00112;Siège Cannes;Siège;27 avenue Jean Jaurès;06400;Cannes;06029;Provence-Alpes-Côte d’Azur;43.5601;7.0569;677;2020-01-04;;oui
SIT-00132;CLI-00112;Agence Roubaix;Agence;98 rue Pasteur;59100;Roubaix;59512;Hauts-de-France;50.6742;3.1466;2105;2025-10-01;;oui
SIT-00133;CLI-00112;Point de vente Béziers;Point de vente;1 quai des Docks;34500;Béziers;34032;Occitanie;43.3175;3.185;450;2021-11-08;;oui
SIT-00134;CLI-00112;Entrepôt Gap;Entrepôt;2 rue de l’Industrie;05000;Gap;05061;Provence-Alpes-Côte d’Azur;44.5573;6.0749;1721;2020-03-06;2025-05-03;non
SIT-00135;CLI-00114;Siège Orléans;Siège;83 rue du Commerce;45000;Orléans;45234;Centre-Val de Loire;47.8642;1.8971;673;2021-09-03;;oui
SIT-00136;CLI-00115;Siège Avignon;Siège;171 impasse des Lilas;84000;Avignon;84007;Provence-Alpes-Côte d’Azur;43.9217;4.7792;1429;2023-08-26;;oui
SIT-00137;CLI-00115;Agence Le Havre;Agence;74 chemin des Vignes;76600;Le Havre;76351;Normandie;49.4554;0.1218;1261;2023-11-02;;oui
SIT-00138;CLI-00118;Siège Meaux;Siège;68 avenue du Général Leclerc;77100;Meaux;77284;Île-de-France;48.9683;2.9231;2021;2017-10-21;;oui
SIT-00139;CLI-00119;Siège Rennes;Siège;165 place du Marché;35000;Rennes;35238;Bretagne;48.1082;-1.6737;40;2025-03-18;;oui
SIT-00140;CLI-00120;Siège Aix-en-Provence;Siège;118 rue de la République;13100;Aix-en-Provence;13001;Provence-Alpes-Côte d’Azur;43.5115;5.4643;86;2021-03-15;;oui
SIT-00141;CLI-00121;Siège belfort;Siège;107 avenue de la Gare;90000;belfort;90010;Bourgogne-Franche-Comté;47.6252;6.8715;136;2023-02-25;;oui
SIT-00142;CLI-00121;Point de vente Boulogne-Billancourt;Point de vente;133 impasse des Lilas;92100;Boulogne-Billancourt;92012;Île-de-France;48.8395;2.2262;197;2019-03-15;;oui
SIT-00143;CLI-00122;Siège Perpignan;Siège;127 place du Marché;66000;Perpignan;66136;Occitanie;42.6849;2.8777;1699;2018-07-08;;oui
SIT-00144;CLI-00122;Agence La Rochelle;Agence;162 route de Bordeaux;17000;La Rochelle;17300;Nouvelle-Aquitaine;46.1504;-1.101;701;2023-05-17;;oui
SIT-00145;CLI-00122;Entrepôt Meaux;Entrepôt;149 rue du Commerce;77100;Meaux;77284;Île-de-France;48.9841;2.8957;1036;2019-03-11;;oui
SIT-00146;CLI-00123;Siège Nevers;Siège;146 chemin des Vignes;58000;Nevers;58194;Bourgogne-Franche-Comté;46.9793;3.206;129;2019-07-06;2022-01-04;non
SIT-00147;CLI-00123;Agence Valence;Agence;45 impasse des Lilas;26000;Valence;26362;Auvergne-Rhône-Alpes;44.9662;4.9239;1650;2024-02-07;;oui
SIT-00148;CLI-00124;Siège Boulogne-Billancourt;Siège;30 rue de la République;92100;Boulogne-Billancourt;92012;Île-de-France;48.8409;2.255;40;2018-09-30;;oui
SIT-00149;CLI-00124;Entrepôt Bordeaux;Entrepôt;179 rue Pasteur;33000;Bordeaux;33063;Nouvelle-Aquitaine;44.8089;-0.5619;400;2019-04-25;2020-04-18;non
SIT-00150;CLI-00124;Entrepôt Pau;Entrepôt;79 avenue du Général Leclerc;64000;Pau;64445;Nouvelle-Aquitaine;43.3345;-0.3921;1256;2021-02-10;;oui
SIT-00151;CLI-00125;Siège Saint-Étienne;Siège;134 rue Pasteur;42000;Saint-Étienne;42218;Auvergne-Rhône-Alpes;45.4596;4.3655;1515;2020-07-24;;oui
SIT-00152;CLI-00126;Siège BÉZIERS;Siège;25 allée des Peupliers;34500;BÉZIERS;34032;Occitanie;43.3331;3.2369;40;2022-05-19;;oui
SIT-00153;CLI-00127;Siège Carcassonne;Siège;8 allée des Peupliers;11000;Carcassonne;11069;Occitanie;43.172;2.3105;40;2017-08-07;;oui
SIT-00154;CLI-00128;Siège Cannes;Siège;125 avenue du Général Leclerc;06400;Cannes;06029;Provence-Alpes-Côte d’Azur;43.5687;7.0484;1437;2024-07-14;;oui
SIT-00155;CLI-00129;Siège Agen;Siège;146 route de Bordeaux;47000;Agen;47001;Nouvelle-Aquitaine;44.1581;0.6231;1622;2026-04-12;;oui
SIT-00156;CLI-00129;Point de vente Cholet;Point de vente;62 impasse des Lilas;49300;Cholet;49099;Pays de la Loire;47.0167;-0.9281;190;2021-04-16;;oui
SIT-00157;CLI-00129;Usine Dijon;Usine;55 allée des Peupliers;21000;Dijon;21231;Bourgogne-Franche-Comté;47.3449;4.9987;1324;2025-09-05;;oui
SIT-00158;CLI-00129;Agence Bordeaux;Agence;31 route de Bordeaux;33000;Bordeaux;33063;Nouvelle-Aquitaine;44.8142;-0.5972;2446;2020-07-17;;oui
SIT-00159;CLI-00130;Siège Roubaix;Siège;145 chemin des Vignes;59100;Roubaix;59512;Hauts-de-France;50.6933;3.1644;2094;2020-10-24;;oui
SIT-00160;CLI-00130;Entrepôt Metz;Entrepôt;39 chemin des Vignes;57000;Metz;57463;Grand Est;49.1475;6.1872;604;2020-03-12;;oui
SIT-00161;CLI-00131;Siège Versailles;Siège;85 rue de l’Industrie;78000;Versailles;78646;Île-de-France;48.829;2.1602;142;2017-04-20;;oui
