id_ticket;id_client;id_contact;canal;categorie;priorite;date_ouverture;date_cloture;delai_resolution_h;satisfaction;agent
TIC-000019;CLI-00901;CTC-002395;Agence;Produit défectueux;normale;2026-08-14;2026-08-16;58;2;Léa Durand
TIC-000020;CLI-00028;;Courriel;Facturation;basse;2026-01-21;2026-01-21;20;4;Vincent Richard
TIC-000021;CLI-01884;;Courriel;Produit défectueux;normale;2025-08-12;2025-08-14;59;3;Julie Dubois
TIC-000022;CLI-00122;CTC-001030;Téléphone;Réclamation;normale;2024-02-19;2024-02-21;50;3;Catherine Dumont
TIC-000023;CLI-02379;CTC-002189;Téléphone;Facturation;haute;2024-01-18;2024-01-18;4;3;Alain Morel
TIC-000024;CLI-01912;CTC-007181;Téléphone;Réclamation;normale;2025-12-05;2025-12-05;1;4;Virginie Henry
TIC-000025;CLI-00582;CTC-005123;Courriel;Demande d’information;normale;2025-01-23;2025-01-24;27;5;Catherine Chevalier
TIC-000026;CLI-00402;CTC-002220;Formulaire web;Réclamation;haute;2024-11-03;2024-11-04;47;4;Léa Durand
TIC-000027;CLI-01947;CTC-007606;Courriel;Retour;normale;2023-11-09;2023-11-12;75;5;Vincent Richard
TIC-000028;CLI-01832;CTC-005225;Formulaire web;Réclamation;normale;2024-05-17;2024-05-18;38;2;Jérôme Blanc
TIC-000029;CLI-00069;CTC-007293;Courriel;Livraison;normale;2023-12-23;2023-12-24;30;4;Alexandre Chevalier
TIC-000030;CLI-02475;;Courriel;Demande d’information;normale;2026-08-04;2026-08-04;12;4;Maxime Muller
TIC-000031;CLI-01003;CTC-005835;Téléphone;Retour;basse;2026-08-18;2026-08-21;83;5;Julie Dubois
TIC-000032;CLI-00771;;Téléphone;Produit défectueux;normale;2024-03-30;2024-04-01;65;4;Jérôme Blanc
TIC-000033;CLI-02267;CTC-004347;Téléphone;Retour;haute;2024-03-11;2024-03-13;54;4;Nathalie Michel
TIC-000034;CLI-00451;CTC-006529;Téléphone;Livraison;normale;2025-06-30;;;;Pauline Durand
TIC-000035;CLI-01973;CTC-000983;Téléphone;Retour;normale;2024-06-22;2024-06-24;50;4;Thomas Morel
TIC-000036;CLI-00181;CTC-006343;Agence;Réclamation;basse;2024-02-01;2024-02-03;67;5;Alexandre Chevalier
TIC-000037;CLI-01084;CTC-005346;Agence;Produit défectueux;normale;2026-02-22;2026-02-22;1;4;Camille Bertrand
TIC-000038;CLI-02413;CTC-006347;Téléphone;Demande d’information;normale;2026-07-10;2026-07-10;15;4;Thomas Morel
TIC-000039;CLI-01788;CTC-005261;Téléphone;Réclamation;basse;2024-02-18;2024-02-19;26;5;Sébastien Mercier
TIC-000040;CLI-00141;CTC-001507;Courriel;Facturation;normale;2024-10-15;2024-10-16;40;3;Camille Bertrand
TIC-000041;CLI-02494;CTC-004777;Agence;Produit défectueux;normale;2024-11-24;2024-11-24;23;4;Franck Lefebvre
TIC-000042;CLI-01181;;Agence;Retour;haute;2024-11-06;2024-11-08;55;5;Thomas Morel
TIC-000043;CLI-00977;CTC-005164;Formulaire web;Retour;normale;2023-10-22;2023-10-23;28;3;Julie Dubois
TIC-000044;CLI-01158;CTC-003693;Agence;Livraison;haute;2024-11-03;2024-11-03;1;4;Franck Lefebvre
TIC-000045;CLI-02237;CTC-004471;Formulaire web;Demande d’information;critique;2025-03-04;;;;Vincent Richard
TIC-000046;CLI-01459;CTC-005323;Téléphone;Facturation;normale;2026-01-20;2026-01-21;33;4;Léa Durand
TIC-000047;CLI-00771;;Agence;Retour;normale;2025-06-06;2025-06-08;50;4;Catherine Chevalier
TIC-000048;CLI-00623;;Courriel;Produit défectueux;normale;2025-04-10;2025-04-11;40;5;Fanny Clément
TIC-000049;CLI-02125;CTC-005800;Agence;Livraison;normale;2023-10-15;2023-10-17;54;4;Pauline Durand
TIC-000050;CLI-00227;CTC-005385;Agence;Produit défectueux;normale;2024-06-28;2024-06-28;18;5;Nathalie Michel
TIC-000051;CLI-01068;;Courriel;Livraison;normale;2025-11-11;2025-11-13;59;4;Fanny Clément
TIC-000052;CLI-02089;CTC-007633;Téléphone;Retour;normale;2026-06-19;2026-06-22;87;3;Sébastien Mercier
TIC-000053;CLI-02476;CTC-005979;Formulaire web;Retour;normale;2024-12-10;2024-12-11;38;4;Fanny Clément
TIC-000054;CLI-02207;;Formulaire web;Facturation;haute;2025-03-08;2025-03-08;1;4;Catherine Chevalier
TIC-000055;CLI-00176;;Téléphone;Réclamation;normale;2025-08-16;2025-08-17;33;3;Jérôme Blanc
TIC-000056;CLI-01881;;Courriel;Facturation;normale;2024-09-18;2024-09-20;53;1;Alexandre Chevalier
TIC-000057;CLI-01319;;Agence;Demande d’information;haute;2026-08-08;;;;Vincent Richard
TIC-000058;CLI-01736;CTC-001380;Téléphone;Réclamation;haute;2025-01-24;2025-01-26;59;4;Manon Michel
TIC-000059;CLI-01435;CTC-007355;Formulaire web;Livraison;normale;2024-11-08;;;;Julie Dubois
TIC-000060;CLI-00402;CTC-004287;Agence;Facturation;normale;2026-02-22;2026-02-22;16;5;Camille Bertrand
TIC-000061;CLI-02250;CTC-002948;Formulaire web;Facturation;normale;2024-02-10;2024-02-12;57;2;Alain Morel
TIC-000062;CLI-01802;CTC-004034;Téléphone;Retour;normale;2023-10-13;2023-10-15;58;2;Fanny Clément
TIC-000063;CLI-01142;CTC-003113;Formulaire web;Livraison;normale;2024-04-10;;;;Catherine Chevalier
TIC-000064;CLI-01472;CTC-004858;Téléphone;Facturation;normale;2024-02-19;2024-02-20;41;5;Fanny Clément
TIC-000065;CLI-02153;CTC-003414;Courriel;Retour;normale;2024-08-01;2024-08-03;49;3;Franck Lefebvre
TIC-000066;CLI-01368;;Formulaire web;Demande d’information;normale;2024-07-27;2024-07-29;63;4;Catherine Dumont
TIC-000067;CLI-01416;CTC-005839;Formulaire web;Facturation;normale;2026-05-15;2026-05-16;44;1;Nathalie Michel
TIC-000068;CLI-01050;CTC-006493;Agence;Demande d’information;basse;2026-03-11;2026-03-12;24;1;Fanny Clément
TIC-000069;CLI-01771;CTC-005715;Agence;Retour;basse;2024-11-22;2024-11-22;6;4;Fanny Clément
TIC-000070;CLI-01974;CTC-005917;Agence;Demande d’information;normale;2026-08-24;;;;Manon Michel
TIC-000071;CLI-01402;CTC-004117;Téléphone;Demande d’information;normale;2026-07-07;2026-07-08;36;5;Sébastien Mercier
TIC-000072;CLI-00289;CTC-007942;Formulaire web;Retour;normale;2024-07-01;2024-07-01;19;4;Fanny Clément
TIC-000073;CLI-01274;;Téléphone;Produit défectueux;normale;2025-04-26;2025-04-26;14;4;Maxime Muller
TIC-000074;CLI-02265;;Courriel;Produit défectueux;normale;2024-04-11;2024-04-11;13;2;Sébastien Mercier
TIC-000075;CLI-02069;CTC-002311;Courriel;Réclamation;normale;2023-09-28;2023-09-29;30;4;Catherine Dumont
TIC-000076;CLI-00927;;Courriel;Produit défectueux;haute;2024-07-22;2024-07-22;19;4;Franck Lefebvre
TIC-000077;CLI-00259;CTC-006829;Téléphone;Réclamation;normale;2024-03-05;2024-03-06;33;5;Alexandre Chevalier
TIC-000078;CLI-00383;CTC-004874;Courriel;Réclamation;basse;2024-06-17;2024-06-18;37;4;Camille Bertrand
TIC-000079;CLI-02157;CTC-002158;Courriel;Demande d’information;normale;2025-01-02;;;;Maxime Muller
TIC-000080;CLI-00863;CTC-007725;Téléphone;Produit défectueux;normale;2025-07-11;2025-07-12;24;4;Jérôme Blanc
TIC-000081;CLI-01869;CTC-006591;Formulaire web;Produit défectueux;normale;2025-11-28;2025-11-29;31;2;Jérôme Blanc
TIC-000082;CLI-01977;;Formulaire web;Réclamation;normale;2023-12-23;2023-12-23;5;4;Julie Dubois
TIC-000083;CLI-01867;CTC-003295;Téléphone;Produit défectueux;haute;2023-09-18;2023-09-18;1;2;Virginie Henry
TIC-000084;CLI-01764;;Courriel;Produit défectueux;normale;2024-07-21;2024-07-24;72;2;Maxime Muller
TIC-000085;CLI-00242;;Agence;Demande d’information;critique;2025-10-05;2025-10-07;64;3;Thomas Morel
TIC-000086;CLI-00798;;Formulaire web;Facturation;normale;2026-06-21;2026-06-21;4;5;Pauline Durand
TIC-000087;CLI-01444;CTC-002250;Téléphone;Livraison;normale;2026-01-06;2026-01-08;50;4;Virginie Henry
TIC-000088;CLI-00013;CTC-000104;Courriel;Retour;haute;2026-07-09;2026-07-09;8;3;Fanny Clément
TIC-000089;CLI-00199;;Formulaire web;Produit défectueux;normale;2025-09-23;2025-09-24;45;3;Catherine Dumont
TIC-000090;CLI-02259;;Formulaire web;Réclamation;haute;2024-09-21;2024-09-21;17;4;Jérôme Blanc
TIC-000091;CLI-01474;CTC-003737;Téléphone;Demande d’information;normale;2024-04-22;;;;Maxime Muller
TIC-000092;CLI-00738;;Téléphone;Réclamation;normale;2024-04-30;2024-04-30;1;10;Maxime Muller
TIC-000093;CLI-00098;;Courriel;Facturation;normale;2026-02-02;2026-02-02;2;3;Maxime Muller
TIC-000094;CLI-00699;CTC-006657;Courriel;Retour;normale;2024-02-13;2024-02-14;31;4;Alain Morel
TIC-000095;CLI-00251;CTC-001388;Formulaire web;Produit défectueux;normale;2024-09-21;2024-09-22;36;4;Virginie Henry
TIC-000096;CLI-00073;;Agence;Produit défectueux;normale;2025-04-08;2025-04-10;52;4;Julie Dubois
TIC-000097;CLI-01149;;Formulaire web;Produit défectueux;normale;2024-03-13;2024-03-13;23;5;Franck Lefebvre
TIC-000098;CLI-00488;;Courriel;Demande d’information;normale;2025-07-15;2025-07-15;9;5;Thomas Morel
TIC-000099;CLI-00018;;Courriel;Réclamation;normale;2024-01-03;2024-01-07;110;2;Nathalie Michel
TIC-000100;CLI-00498;;Formulaire web;Facturation;normale;2026-06-10;2026-06-10;10;4;Nathalie Michel
TIC-000101;CLI-01789;;Agence;Livraison;haute;2024-01-10;2024-01-10;1;2;Camille Bertrand
TIC-000102;CLI-01191;CTC-004430;Agence;Demande d’information;normale;2026-03-16;;;;Julie Dubois
TIC-000103;CLI-01852;CTC-006741;Agence;Livraison;normale;2025-01-08;;;;Vincent Richard
TIC-000104;CLI-00192;;Formulaire web;Produit défectueux;normale;2026-02-24;2026-02-24;1;3;Vincent Richard
TIC-000105;CLI-00939;CTC-003304;Agence;Demande d’information;basse;2025-01-12;2025-01-12;12;2;Alain Morel
TIC-000106;CLI-01070;CTC-007048;Agence;Produit défectueux;normale;2025-04-25;2025-04-26;38;3;Thomas Morel
TIC-000107;CLI-00145;CTC-004650;Agence;Retour;critique;2026-03-13;2026-03-13;10;2;Thomas Morel
TIC-000108;CLI-00057;CTC-000208;Courriel;Réclamation;normale;2025-05-17;2025-05-18;44;4;Franck Lefebvre
TIC-000109;CLI-00252;CTC-001891;Agence;Retour;basse;2025-11-24;2025-11-24;1;5;Jérôme Blanc
TIC-000110;CLI-01777;CTC-007074;Téléphone;Réclamation;normale;2026-07-29;2026-07-29;17;3;Catherine Chevalier
TIC-000111;CLI-01221;;Agence;Retour;normale;2024-06-28;2024-06-28;10;5;Sébastien Mercier
TIC-000112;CLI-01641;CTC-007176;Courriel;Livraison;normale;2023-09-21;2023-09-21;23;3;Pauline Durand
TIC-000113;CLI-01453;;Téléphone;Facturation;normale;2025-01-22;2025-01-22;1;4;Vincent Richard
TIC-000114;CLI-02389;CTC-000403;Téléphone;Retour;basse;2025-09-08;2025-09-12;100;5;Catherine Chevalier
TIC-000115;CLI-00907;CTC-007798;Téléphone;Demande d’information;basse;2026-01-21;2026-01-23;70;2;Catherine Dumont
TIC-000116;CLI-01865;CTC-000843;Téléphone;Livraison;normale;2025-03-07;2025-03-07;1;5;Nathalie Michel
TIC-000117;CLI-01783;CTC-004080;Téléphone;Retour;normale;2024-07-17;2024-07-20;78;4;Manon Michel
TIC-000118;CLI-02299;CTC-002589;Courriel;Demande d’information;haute;2025-07-02;;;;Alain Morel
TIC-000119;CLI-00676;;Agence;Retour;normale;2026-08-04;2026-08-04;1;2;Manon Michel
TIC-000120;CLI-00387;CTC-001116;Téléphone;Livraison;normale;2026-05-08;2026-05-10;60;3;Franck Lefebvre
TIC-000121;CLI-01106;;Formulaire web;Réclamation;normale;2026-01-19;2026-01-21;49;2;Camille Bertrand
TIC-000122;CLI-00078;;Courriel;Demande d’information;normale;2025-09-27;2025-09-29;56;2;Jérôme Blanc
TIC-000123;CLI-00269;CTC-004175;Agence;Produit défectueux;normale;2023-11-19;2023-11-19;12;3;Virginie Henry
TIC-000124;CLI-02236;;Agence;Facturation;normale;2024-01-01;2024-01-01;1;2;Alexandre Chevalier
TIC-000125;CLI-01590;CTC-000434;Téléphone;Retour;critique;2026-06-14;2026-06-16;48;1;Catherine Chevalier
TIC-000126;CLI-00973;;Formulaire web;Produit défectueux;haute;2024-09-26;2024-09-29;77;3;Sébastien Mercier
TIC-000127;CLI-02417;CTC-002331;Formulaire web;Livraison;critique;2024-09-15;2024-09-17;55;3;Thomas Morel
TIC-000128;CLI-02378;CTC-001348;Téléphone;Livraison;normale;2025-05-14;2025-05-16;56;5;Franck Lefebvre
TIC-000129;CLI-00476;CTC-007180;Téléphone;Retour;haute;2024-04-19;;;;Thomas Morel
TIC-000130;CLI-01100;;Agence;Retour;basse;2024-12-03;2024-12-06;72;0;Vincent Richard
TIC-000131;CLI-00815;;Téléphone;Livraison;normale;2026-04-01;2026-04-04;82;4;Pauline Durand
TIC-000132;CLI-02193;;Courriel;Facturation;basse;2025-10-07;2025-10-08;38;5;Jérôme Blanc
TIC-000133;CLI-01317;;Agence;Facturation;normale;2025-07-31;2025-08-01;41;4;Catherine Chevalier
TIC-000134;CLI-00346;CTC-005922;Téléphone;Produit défectueux;normale;2026-03-18;;;;Sébastien Mercier
TIC-000135;CLI-01684;CTC-006007;Téléphone;Livraison;normale;2026-08-26;2026-08-27;39;3;Catherine Chevalier
TIC-000136;CLI-01871;CTC-001121;Téléphone;Demande d’information;basse;2023-10-17;2023-10-19;63;4;Maxime Muller
TIC-000137;CLI-00899;CTC-000900;Agence;Facturation;critique;2026-01-10;2026-01-10;1;1;Camille Bertrand
TIC-000138;CLI-00545;;Formulaire web;Produit défectueux;normale;2023-10-02;;;;Nathalie Michel
TIC-000139;CLI-01487;CTC-002154;Téléphone;Facturation;normale;2024-07-04;2024-07-05;36;4;Manon Michel
TIC-000140;CLI-01708;CTC-002073;Téléphone;Retour;normale;2025-03-04;2025-03-07;94;5;Fanny Clément
TIC-000141;CLI-01949;CTC-007476;Courriel;Livraison;critique;2025-03-20;2025-03-20;5;4;Nathalie Michel
TIC-000142;CLI-00819;;Courriel;Produit défectueux;basse;2026-08-22;2026-08-24;49;4;Maxime Muller
TIC-000143;CLI-02138;;Agence;Réclamation;normale;2026-09-07;2026-09-09;63;4;Julie Dubois
TIC-000144;CLI-01329;CTC-003717;Courriel;Facturation;normale;2023-11-06;2023-11-06;9;4;Thomas Morel
TIC-000145;CLI-01465;;Formulaire web;Réclamation;normale;2024-12-25;2024-12-27;57;4;Manon Michel
TIC-000146;CLI-00955;CTC-007941;Téléphone;Demande d’information;normale;2025-09-23;;;;Pauline Durand
TIC-000147;CLI-00749;CTC-004765;Agence;Facturation;normale;2024-07-31;;;;Catherine Dumont
TIC-000148;CLI-02071;CTC-002458;Formulaire web;Retour;normale;2023-11-08;2023-11-08;2;5;Fanny Clément
TIC-000149;CLI-00802;;Agence;Facturation;haute;2025-11-23;2025-11-24;35;3;Fanny Clément
TIC-000150;CLI-00557;CTC-007869;Téléphone;Retour;normale;2024-02-06;2024-02-07;24;2;Manon Michel
TIC-000151;CLI-00371;CTC-007583;Formulaire web;Réclamation;basse;2024-05-22;;;;Catherine Chevalier
TIC-000152;CLI-01003;CTC-001982;Agence;Livraison;normale;2025-10-27;2025-10-28;30;3;Virginie Henry
TIC-000153;CLI-01708;CTC-003744;Téléphone;Livraison;basse;2023-12-03;2023-12-07;96;4;Léa Durand
TIC-000154;CLI-00052;CTC-002057;Téléphone;Réclamation;critique;2023-11-22;;;;Catherine Dumont
TIC-000155;CLI-01373;CTC-005779;Agence;Réclamation;normale;2024-03-11;2024-03-12;33;3;Julie Dubois
TIC-000156;CLI-00892;;Formulaire web;Facturation;haute;2025-01-23;2025-01-25;68;4;Camille Bertrand
TIC-000157;CLI-01575;CTC-000964;Courriel;Livraison;normale;2024-07-15;2024-07-15;15;5;Camille Bertrand
TIC-000158;CLI-01778;CTC-005905;Agence;Produit défectueux;basse;2026-05-27;2026-05-28;42;4;Maxime Muller
TIC-000159;CLI-02296;;Téléphone;Retour;normale;2026-07-05;2026-07-06;36;3;Alain Morel
TIC-000160;CLI-02462;CTC-002638;Téléphone;Livraison;basse;2024-04-11;2024-04-11;1;5;Alain Morel
TIC-000161;CLI-02136;CTC-004221;Téléphone;Produit défectueux;normale;2023-12-09;2023-12-10;39;1;Catherine Chevalier
TIC-000162;CLI-02081;CTC-005599;Courriel;Livraison;normale;2026-04-24;2026-04-25;44;5;Vincent Richard
TIC-000163;CLI-01165;;Formulaire web;Produit défectueux;normale;2024-07-13;2024-07-14;47;3;Manon Michel
TIC-000164;CLI-00952;;Formulaire web;Facturation;normale;2024-10-15;2024-10-16;41;4;Sébastien Mercier
TIC-000165;CLI-00934;CTC-006521;Téléphone;Demande d’information;normale;2024-11-24;2024-11-24;1;5;Fanny Clément
TIC-000166;CLI-00665;;Agence;Produit défectueux;critique;2025-04-11;2025-04-11;1;5;Manon Michel
TIC-000167;CLI-00171;CTC-001119;Téléphone;Réclamation;critique;2023-10-14;2023-10-15;29;4;Franck Lefebvre
TIC-000168;CLI-01198;;Formulaire web;Livraison;normale;2025-09-02;2025-09-02;1;4;Fanny Clément
TIC-000169;CLI-00463;CTC-002833;Téléphone;Facturation;normale;2023-09-13;2023-09-13;19;3;Alain Morel
TIC-000170;CLI-01486;CTC-002217;Téléphone;Demande d’information;basse;2025-08-05;2025-08-06;34;3;Vincent Richard
TIC-000171;CLI-01528;CTC-005133;Courriel;Retour;haute;2024-10-31;2024-11-01;25;1;Maxime Muller
TIC-000172;CLI-01283;CTC-005578;Formulaire web;Livraison;normale;2026-07-22;2026-07-23;29;5;Maxime Muller
TIC-000173;CLI-00247;CTC-006032;Agence;Produit défectueux;normale;2026-09-09;;;;Thomas Morel
TIC-000174;CLI-01659;;Agence;Facturation;haute;2025-12-28;2025-12-28;2;4;Camille Bertrand
TIC-000175;CLI-02398;;Agence;Livraison;normale;2025-11-09;2025-11-09;1;5;Franck Lefebvre
TIC-000176;CLI-00135;CTC-005721;Courriel;Retour;normale;2024-01-19;2024-01-21;58;3;Vincent Richard
TIC-000177;CLI-01532;CTC-006224;Téléphone;Produit défectueux;haute;2023-09-11;2023-09-12;26;3;Vincent Richard
TIC-000178;CLI-01912;;Formulaire web;Réclamation;normale;2024-04-16;2024-04-16;11;4;Virginie Henry
TIC-000179;CLI-01311;;Courriel;Livraison;normale;2025-10-31;2025-11-01;25;3;Pauline Durand
TIC-000180;CLI-00885;CTC-007245;Courriel;Facturation;haute;2026-05-31;2026-06-01;24;3;Léa Durand
TIC-000181;CLI-01924;CTC-006888;Courriel;Demande d’information;normale;2024-05-26;2024-05-27;35;4;Fanny Clément
TIC-000182;CLI-00056;;Agence;Produit défectueux;normale;2023-11-08;2023-11-09;34;4;Thomas Morel
TIC-000183;CLI-00506;CTC-000905;Téléphone;Livraison;basse;2025-12-18;2025-12-19;44;4;Sébastien Mercier
TIC-000184;CLI-00892;;Téléphone;Demande d’information;normale;2025-11-10;2025-11-11;46;5;Sébastien Mercier
TIC-000185;CLI-02311;CTC-002494;Agence;Facturation;normale;2025-11-28;2025-12-01;93;3;Thomas Morel
TIC-000186;CLI-00209;;Courriel;Produit défectueux;normale;2024-01-24;2024-01-28;98;3;Virginie Henry
TIC-000187;CLI-01653;;Courriel;Réclamation;haute;2024-10-30;;;;Nathalie Michel
TIC-000188;CLI-00528;;Agence;Demande d’information;haute;2023-10-21;2023-10-22;32;4;Fanny Clément
TIC-000189;CLI-00821;CTC-005492;Formulaire web;Demande d’information;normale;2026-01-10;2026-01-10;1;5;Sébastien Mercier
TIC-000190;CLI-01128;;Téléphone;Demande d’information;basse;2025-11-08;2025-11-09;24;4;Nathalie Michel
TIC-000191;CLI-01641;CTC-003958;Formulaire web;Livraison;basse;2024-08-09;2024-08-09;16;3;Jérôme Blanc
TIC-000192;CLI-00527;;Courriel;Réclamation;normale;2025-08-23;2025-08-26;74;4;Fanny Clément
TIC-000193;CLI-01960;CTC-005362;Courriel;Demande d’information;normale;2026-07-04;2026-07-05;33;5;Julie Dubois
TIC-000194;CLI-02012;CTC-003039;Téléphone;Réclamation;normale;2024-11-16;2024-11-17;35;5;Maxime Muller
TIC-000195;CLI-01147;CTC-002721;Téléphone;Demande d’information;basse;2026-04-03;2026-04-03;4;1;Alain Morel
TIC-000196;CLI-00247;CTC-006032;Téléphone;Produit défectueux;normale;2023-11-16;2023-11-19;73;4;Nathalie Michel
TIC-000197;CLI-01537;CTC-004062;Formulaire web;Livraison;haute;2023-11-29;2023-11-29;13;5;Pauline Durand
TIC-000198;CLI-00655;;Téléphone;Facturation;haute;2026-08-06;2026-08-06;3;4;Catherine Dumont
TIC-000199;CLI-02095;;Téléphone;Produit défectueux;normale;2024-03-11;2024-03-12;26;2;Franck Lefebvre
TIC-000200;CLI-01780;CTC-004605;Courriel;Livraison;normale;2025-07-14;2025-07-15;32;2;Virginie Henry
TIC-000201;CLI-01591;CTC-000872;Agence;Livraison;normale;2025-12-04;2025-12-06;55;4;Catherine Dumont
TIC-000202;CLI-00041;CTC-005408;Courriel;Réclamation;haute;2023-11-22;2023-11-22;1;5;Maxime Muller
TIC-000203;CLI-00676;;Agence;Livraison;basse;2026-06-11;2026-06-13;62;4;Camille Bertrand
TIC-000204;CLI-00014;CTC-004741;Agence;Livraison;normale;2025-01-06;2025-01-06;17;4;Alain Morel
TIC-000205;CLI-02084;;Agence;Produit défectueux;basse;2024-10-13;2024-10-16;77;4;Fanny Clément
TIC-000206;CLI-00932;;Agence;Facturation;basse;2024-07-25;2024-07-25;1;2;Julie Dubois
TIC-000207;CLI-00459;CTC-004338;Téléphone;Produit défectueux;basse;2024-02-23;2024-02-23;1;4;Manon Michel
TIC-000208;CLI-01883;CTC-007028;Courriel;Livraison;normale;2023-12-20;2023-12-21;40;1;Fanny Clément
TIC-000209;CLI-01824;CTC-006249;Formulaire web;Demande d’information;normale;2026-02-10;2026-01-29;90;5;Alain Morel
TIC-000210;CLI-00092;;Téléphone;Produit défectueux;normale;2025-01-23;;;;Catherine Chevalier
TIC-000211;CLI-00149;CTC-005872;Téléphone;Retour;normale;2025-09-04;2025-09-04;20;4;Manon Michel
TIC-000212;CLI-00226;CTC-007911;Courriel;Facturation;normale;2024-05-04;2024-05-04;13;3;Nathalie Michel
TIC-000213;CLI-01374;;Agence;Livraison;normale;2025-04-20;2025-04-22;51;3;Catherine Dumont
TIC-000214;CLI-01153;CTC-003294;Agence;Facturation;normale;2025-08-13;2025-08-15;64;4;Thomas Morel
TIC-000215;CLI-02066;;Courriel;Réclamation;normale;2026-03-26;2026-03-26;23;4;Julie Dubois
TIC-000216;CLI-00865;CTC-000145;Formulaire web;Retour;normale;2023-11-21;2023-11-23;59;4;Julie Dubois
TIC-000217;CLI-00735;CTC-004841;Formulaire web;Demande d’information;normale;2024-03-31;2024-04-01;29;4;Alexandre Chevalier
TIC-000218;CLI-00716;CTC-003971;Courriel;Réclamation;normale;2024-02-10;2024-02-12;57;4;Franck Lefebvre
TIC-000219;CLI-01895;CTC-000706;Formulaire web;Réclamation;normale;2025-10-13;2025-10-14;34;5;Manon Michel
TIC-000220;CLI-01709;CTC-001647;Téléphone;Demande d’information;critique;2023-10-30;2023-10-30;16;4;Manon Michel
TIC-000221;CLI-01725;;Téléphone;Réclamation;normale;2026-06-03;2026-06-06;95;4;Sébastien Mercier
TIC-000222;CLI-01532;CTC-006224;Agence;Réclamation;basse;2024-02-10;2024-02-14;110;4;Vincent Richard
TIC-000223;CLI-01403;CTC-002466;Courriel;Demande d’information;normale;2025-11-14;2025-11-17;79;1;Catherine Dumont
TIC-000224;CLI-02227;CTC-002770;Téléphone;Produit défectueux;normale;2025-10-03;;;;Virginie Henry
TIC-000225;CLI-00796;CTC-001917;Téléphone;Réclamation;normale;2024-04-30;2024-05-02;63;4;Vincent Richard
TIC-000226;CLI-00185;CTC-004817;Agence;Livraison;haute;2025-07-30;2025-07-31;43;4;Manon Michel
TIC-000227;CLI-01350;CTC-000185;Formulaire web;Facturation;normale;2026-07-04;2026-07-05;28;5;Pauline Durand
TIC-000228;CLI-01428;CTC-007213;Téléphone;Facturation;basse;2025-04-14;2025-04-15;42;4;Jérôme Blanc
TIC-000229;CLI-01979;CTC-006050;Agence;Réclamation;basse;2023-10-10;2023-10-10;11;1;Alexandre Chevalier
TIC-000230;CLI-01933;CTC-000319;Agence;Livraison;normale;2026-07-01;2026-07-04;81;5;Vincent Richard
TIC-000231;CLI-00126;CTC-003108;Téléphone;Demande d’information;basse;2024-07-13;2024-07-14;25;4;Camille Bertrand
TIC-000232;CLI-01834;;Agence;Réclamation;NORMALE;2026-04-25;2026-04-25;1;4;Julie Dubois
TIC-000233;CLI-01063;CTC-004497;Agence;Retour;normale;2024-06-18;2024-06-20;68;3;Catherine Dumont
TIC-000234;CLI-01729;CTC-004502;Téléphone;Retour;normale;2023-09-26;2023-09-28;48;3;Catherine Dumont
TIC-000235;CLI-00059;;Téléphone;Produit défectueux;normale;2024-01-09;2024-01-10;39;5;Alain Morel
TIC-000236;CLI-01959;CTC-006877;Formulaire web;Livraison;normale;2026-03-03;2026-03-07;109;2;Nathalie Michel
