id_ligne;id_commande;id_produit;libelle_produit;quantite;prix_unitaire;remise_pct;montant_ligne
LIG-0000095;CMD-000036;PRD-0157;Hygiène renforcé;14;81.39;0;1139.46
LIG-0000096;CMD-000036;PRD-0047;Papier recyclé;13;18.64;0;242.32
LIG-0000097;CMD-000037;PRD-0121;Bureau standard;1;732.7;0;732.7
LIG-0000098;CMD-000038;PRD-0099;Film renforcé;8;20.67;0;165.36
LIG-0000099;CMD-000039;PRD-0029;Électroportatif premium;10;0;0;0
LIG-0000100;CMD-000040;PRD-0147;Papier économique;6;4.13;0;24.78
LIG-0000101;CMD-000041;PRD-0070;Mesure standard;24;348.54;0;8364.96
LIG-0000102;CMD-000041;PRD-0011;Siège professionnel;10;397.13;0;3971.3
LIG-0000103;CMD-000042;PRD-0005;Film premium;1;17.88;0;17.88
LIG-0000104;CMD-000042;PRD-0077;Électroportatif premium;9;147.99;10;1198.72
LIG-0000105;CMD-000042;PRD-0167;Bureau économique;2;380.04;10;684.07
LIG-0000106;CMD-000042;PRD-0101;Protection standard;6;24.12;0;144.72
LIG-0000107;CMD-000043;PRD-0069;Protection professionnel;8;59.74;0;477.92
LIG-0000108;CMD-000043;PRD-0049;Nettoyage professionnel;5;27.78;0;138.9
LIG-0000109;CMD-000043;PRD-0105;Carton économique;19;42.64;20;648.13
LIG-0000110;CMD-000044;PRD-0108;Mesure recyclé;7;429.07;0;3003.49
LIG-0000111;CMD-000044;PRD-0108;Mesure recyclé;19;429.07;0;8152.33
LIG-0000112;CMD-000044;PRD-0045;Carton compact;16;25.31;10;364.46
LIG-0000113;CMD-000045;PRD-0052;Réseau premium;5;284.48;0;1422.4
LIG-0000114;CMD-000045;PRD-0150;Main renforcé;2;93.49;0;186.98
LIG-0000115;CMD-000045;PRD-0119;Mesure recyclé;1;358.78;0;358.78
LIG-0000116;CMD-000045;PRD-0161;Siège recyclé;4;216.91;0;867.64
LIG-0000117;CMD-000046;PRD-0172;Rangement recyclé;6;502.43;5;2863.85
LIG-0000118;CMD-000047;PRD-0161;Siège recyclé;1;216.91;0;216.91
LIG-0000119;CMD-000048;PRD-0066;Main compact;1;567.84;0;567.84
LIG-0000120;CMD-000048;PRD-0160;Périphérique compact;2;493.39;10;888.1
LIG-0000121;CMD-000049;PRD-0170;Film premium;4;26.78;15;91.05
LIG-0000122;CMD-000050;PRD-0151;Main recyclé;1;124.66;0;124.66
LIG-0000123;CMD-000050;PRD-0053;Bureau grand format;1;299.81;0;299.81
LIG-0000124;CMD-000050;PRD-0023;Nettoyage compact;7;109.63;10;690.67
LIG-0000125;CMD-000050;PRD-0140;Périphérique recyclé;18;577.61;0;10396.98
LIG-0000126;CMD-000051;PRD-0026;Protection compact;25;14.12;0;353
LIG-0000127;CMD-000052;PRD-0083;Écriture renforcé;12;26.72;0;320.64
LIG-0000128;CMD-000052;PRD-0133;Carton standard;11;16.73;0;184.03
LIG-0000129;CMD-000052;PRD-0102;Bureau standard;19;340.64;0;6472.16
LIG-0000130;CMD-000053;PRD-0023;Nettoyage compact;1;109.63;0;109.63
LIG-0000131;CMD-000053;PRD-0046;Consommable grand format;10;1058.85;0;10588.5
LIG-0000132;CMD-000053;PRD-0014;Nettoyage économique;1;34.88;0;34.88
LIG-0000133;CMD-000053;PRD-0025;Écriture compact;1;15.91;0;15.91
LIG-0000134;CMD-000053;PRD-0139;Classement grand format;9;10.37;0;93.33
LIG-0000135;CMD-000054;PRD-0123;Classement professionnel;1;8.95;0;10.05
LIG-0000136;CMD-000054;PRD-0091;Électroportatif standard;8;199.24;0;1593.92
LIG-0000137;CMD-000055;PRD-0148;Écriture compact;16;5.55;15;75.48
LIG-0000138;CMD-000056;PRD-0088;Hygiène professionnel;7;97.96;0;685.72
LIG-0000139;CMD-000057;PRD-0053;Bureau grand format;9;299.81;10;2428.46
LIG-0000140;CMD-000057;PRD-0174;Classement grand format;2;14.31;0;28.62
LIG-0000141;CMD-000058;PRD-0153;Papier grand format;1;5.11;15;4.34
LIG-0000142;CMD-000058;PRD-0086;Film économique;18;12.18;0;219.24
LIG-0000143;CMD-000058;PRD-0122;Nettoyage compact;1;24.86;20;19.89
LIG-0000144;CMD-000058;PRD-0057;Nettoyage compact;19;16.81;0;319.39
LIG-0000145;CMD-000058;PRD-0143;Consommable standard;6;212.9;0;1277.4
LIG-0000146;CMD-000059;PRD-0009;Réseau compact;11;483.76;0;5321.36
LIG-0000147;CMD-000059;PRD-0108;Mesure recyclé;11;429.07;20;3775.82
LIG-0000148;CMD-000059;PRD-0025;Écriture compact;5;15.91;0;79.55
LIG-0000149;CMD-000060;PRD-0048;Siège renforcé;18;733.01;0;13194.18
LIG-0000150;CMD-000060;PRD-0170;Film premium;8;26.78;0;214.24
LIG-0000151;CMD-000061;PRD-0088;Hygiène professionnel;10;97.96;0;979.6
LIG-0000152;CMD-000062;PRD-0025;Écriture compact;10;15.91;0;159.1
LIG-0000153;CMD-000062;PRD-0150;Main renforcé;16;93.49;0;1495.84
LIG-0000154;CMD-000062;PRD-0034;Classement compact;8;19.92;0;159.36
LIG-0000155;CMD-000063;PRD-0008;Rangement premium;7;461.47;0;3230.29
LIG-0000156;CMD-000063;PRD-0033;Palette renforcé;9;10.07;0;90.63
LIG-0000157;CMD-000063;PRD-0159;Consommable économique;15;276.27;0;4144.05
LIG-0000158;CMD-000064;PRD-0118;Réseau compact;11;842.75;0;9270.25
LIG-0000159;CMD-000064;PRD-0137;Électroportatif économique;7;599.46;0;4196.22
LIG-0000160;CMD-000065;PRD-0049;Nettoyage professionnel;6;27.78;0;166.68
LIG-0000161;CMD-000065;PRD-0167;Bureau économique;4;380.04;5;1444.15
LIG-0000162;CMD-000065;PRD-0026;Protection compact;1;14.12;0;14.12
LIG-0000163;CMD-000065;PRD-0002;Rangement professionnel;15;224.1;0;3361.5
LIG-0000164;CMD-000065;PRD-0155;Palette compact;19;27.98;0;531.62
LIG-0000165;CMD-000066;PRD-0111;Classement standard;1;21.78;5;20.69
LIG-0000166;CMD-000066;PRD-0115;Siège grand format;12;121.28;0;1949.05
LIG-0000167;CMD-000066;PRD-0039;Siège professionnel;1;479.93;0;479.93
LIG-0000168;CMD-000066;PRD-0126;Carton économique;9;37.56;0;338.04
LIG-0000169;CMD-000067;PRD-0125;Bureau compact;9;471.82;0;4246.38
LIG-0000170;CMD-000068;PRD-0068;Carton économique;4;4.47;15;15.2
LIG-0000171;CMD-000068;PRD-0078;Classement grand format;14;2.37;20;26.54
LIG-0000172;CMD-000069;PRD-0061;Nettoyage grand format;8;92.93;0;743.44
LIG-0000173;CMD-000069;PRD-0180;Siège grand format;13;382.49;0;4972.37
LIG-0000174;CMD-000069;PRD-0032;Bureau premium;1;517.88;0;517.88
LIG-0000175;CMD-000069;PRD-0025;Écriture compact;17;15.91;0;270.47
LIG-0000176;CMD-000070;PRD-0013;Protection économique;10;36.28;0;362.8
LIG-0000177;CMD-000070;PRD-0060;Réseau recyclé;6;415.19;0;2491.14
LIG-0000178;CMD-000071;PRD-0028;Écriture économique;15;25.16;0;377.4
LIG-0000179;CMD-000071;PRD-0081;Nettoyage standard;13;19.45;0;252.85
LIG-0000180;CMD-000071;PRD-0107;Consommable grand format;10;1385.27;0;13852.7
LIG-0000181;CMD-000072;PRD-0014;Nettoyage économique;4;34.88;0;139.52
LIG-0000182;CMD-000072;PRD-0129;Film économique;9;32.32;10;261.79
LIG-0000183;CMD-000072;PRD-0018;Siège standard;11;484.37;0;5328.07
LIG-0000184;CMD-000072;PRD-0073;Périphérique professionnel;1;1490.22;0;1490.22
LIG-0000185;CMD-000072;PRD-0074;Siège renforcé;11;152.11;0;1673.21
LIG-0000186;CMD-000073;PRD-0017;Film recyclé;3;35.22;0;105.66
LIG-0000187;CMD-000073;PRD-0095;Palette standard;6;25.99;10;140.35
LIG-0000188;CMD-000074;PRD-0122;Nettoyage compact;6;24.86;0;149.16
LIG-0000189;CMD-000074;PRD-0060;Réseau recyclé;11;415.19;0;4567.09
LIG-0000190;CMD-000074;PRD-0074;Siège renforcé;6;152.11;0;912.66
LIG-0000191;CMD-000074;PRD-0008;Rangement premium;7;461.47;5;3068.78
LIG-0000192;CMD-000075;PRD-0111;Classement standard;18;21.78;0;392.04
LIG-0000193;CMD-000075;PRD-0020;Périphérique recyclé;16;0;0;0
LIG-0000194;CMD-000075;PRD-0003;Mesure standard;20;522.66;15;8885.22
LIG-0000195;CMD-000075;PRD-0088;Hygiène professionnel;21;97.96;0;2057.16
LIG-0000196;CMD-000076;PRD-0090;Écriture renforcé;5;25.08;0;125.4
LIG-0000197;CMD-000076;PRD-0083;Écriture renforcé;16;26.72;0;427.52
LIG-0000198;CMD-000076;PRD-0053;Bureau grand format;1;299.81;10;269.83
LIG-0000199;CMD-000077;PRD-0149;Papier standard;12;5.61;20;53.86
LIG-0000200;CMD-000077;PRD-0050;Bureau standard;5;308.09;0;1540.45
LIG-0000201;CMD-000077;PRD-0056;Électroportatif standard;1;117.95;0;117.95
LIG-0000202;CMD-000077;PRD-0030;Réseau renforcé;2;436.15;5;828.69
LIG-0000203;CMD-000078;PRD-0002;Rangement professionnel;6;224.1;0;1344.6
LIG-0000204;CMD-000078;PRD-0016;Consommable recyclé;13;654.03;0;8502.39
LIG-0000205;CMD-000078;PRD-0030;Réseau renforcé;11;436.15;0;4797.65
LIG-0000206;CMD-000078;PRD-0032;Bureau premium;12;517.88;0;6214.56
LIG-0000207;CMD-000078;PRD-0081;Nettoyage standard;16;19.45;0;311.2
LIG-0000208;CMD-000078;PRD-0091;Électroportatif standard;25;199.24;20;3984.8
LIG-0000209;CMD-000079;PRD-0139;Classement grand format;1;10.37;0;10.37
LIG-0000210;CMD-000079;PRD-0139;Classement grand format;6;10.37;15;52.89
LIG-0000211;CMD-000079;PRD-0140;Périphérique recyclé;4;577.61;0;2310.44
LIG-0000212;CMD-000079;PRD-0009;Réseau compact;3;483.76;0;1754.11
LIG-0000213;CMD-000080;PRD-0039;Siège professionnel;11;479.93;0;5279.23
LIG-0000214;CMD-000080;PRD-0116;Classement grand format;10;8.02;0;80.2
LIG-0000215;CMD-000080;PRD-0011;Siège professionnel;1;397.13;0;397.13
LIG-0000216;CMD-000080;PRD-0148;Écriture compact;9;5.55;0;49.95
LIG-0000217;CMD-000081;PRD-0148;Écriture compact;8;5.55;10;39.96
LIG-0000218;CMD-000081;PRD-0165;Mesure renforcé;1;260.45;0;260.45
LIG-0000219;CMD-000081;PRD-0023;Nettoyage compact;2;109.63;0;219.26
LIG-0000220;CMD-000081;PRD-0038;Film renforcé;4;28.5;20;91.2
LIG-0000221;CMD-000082;PRD-0042;Carton renforcé;7;4.52;0;31.64
LIG-0000222;CMD-000083;PRD-0013;Protection économique;1;36.28;0;36.28
LIG-0000223;CMD-000083;PRD-0125;Bureau compact;1;471.82;0;471.82
LIG-0000224;CMD-000083;PRD-0053;Bureau grand format;4;299.81;0;1199.24
LIG-0000225;CMD-000084;PRD-0133;Carton standard;1;16.73;0;16.73
LIG-0000226;CMD-000085;PRD-0118;Réseau compact;8;842.75;5;6404.9
LIG-0000227;CMD-000085;PRD-0146;Hygiène recyclé;7;67.78;0;474.46
LIG-0000228;CMD-000085;PRD-0020;Périphérique recyclé;1;0;0;0
LIG-0000229;CMD-000085;PRD-0102;Bureau standard;4;340.64;15;1158.18
LIG-0000230;CMD-000086;PRD-0121;Bureau standard;16;732.7;0;11723.2
LIG-0000231;CMD-000087;PRD-0005;Film premium;1;17.88;0;17.88
LIG-0000232;CMD-000087;PRD-0128;Électroportatif économique;1;185.02;10;166.52
LIG-0000233;CMD-000087;PRD-0024;Protection économique;2;91.05;10;163.89
LIG-0000234;CMD-000087;PRD-0029;Électroportatif premium;6;0;0;0
LIG-0000235;CMD-000087;PRD-0131;Film recyclé;2;14.54;0;29.08
LIG-0000236;CMD-000087;PRD-0058;Nettoyage premium;4;22.04;0;88.16
LIG-0000237;CMD-000088;PRD-0158;Bureau renforcé;13;449.01;0;5837.13
LIG-0000238;CMD-000088;PRD-0109;Hygiène professionnel;17;34.75;20;472.6
LIG-0000239;CMD-000088;PRD-0024;Protection économique;1;91.05;0;91.05
LIG-0000240;CMD-000089;PRD-0022;Classement standard;2;4.05;0;8.1
LIG-0000241;CMD-000090;PRD-0161;Siège recyclé;4;216.91;0;867.64
LIG-0000242;CMD-000090;PRD-0140;Périphérique recyclé;2;577.61;0;1155.22
LIG-0000243;CMD-000091;PRD-0056;Électroportatif standard;6;117.95;0;707.7
LIG-0000244;CMD-000092;PRD-0115;Siège grand format;7;121.28;0;848.96
LIG-0000245;CMD-000092;PRD-0167;Bureau économique;1;380.04;0;380.04
LIG-0000246;CMD-000093;PRD-0059;Écriture renforcé;9;23.3;0;209.7
LIG-0000247;CMD-000093;PRD-0142;Film premium;2;14.13;0;28.26
LIG-0000248;CMD-000094;PRD-0045;Carton compact;3;25.31;0;89.69
LIG-0000249;CMD-000094;PRD-0114;Mesure recyclé;6;141.07;0;846.42
LIG-0000250;CMD-000095;PRD-0087;Palette économique;9;2.84;0;25.56
LIG-0000251;CMD-000095;PRD-0173;Électroportatif professionnel;1;20.89;0;20.89
LIG-0000252;CMD-000096;PRD-0139;Classement grand format;3;10.37;0;31.11
LIG-0000253;CMD-000096;PRD-0001;Rangement grand format;1;603.89;0;603.89
LIG-0000254;CMD-000096;PRD-0152;Consommable recyclé;11;530.77;0;5838.47
LIG-0000255;CMD-000096;PRD-0077;Électroportatif premium;1;147.99;15;125.79
LIG-0000256;CMD-000096;PRD-0137;Électroportatif économique;10;599.46;10;5395.14
LIG-0000257;CMD-000096;PRD-0009;Réseau compact;12;483.76;0;5805.12
LIG-0000258;CMD-000097;PRD-0091;Électroportatif standard;6;199.24;0;1195.44
LIG-0000259;CMD-000097;PRD-0105;Carton économique;1;42.64;0;42.64
LIG-0000260;CMD-000097;PRD-0088;Hygiène professionnel;18;97.96;0;1763.28
LIG-0000261;CMD-000097;PRD-0135;Protection recyclé;5;79.53;0;397.65
LIG-0000262;CMD-000098;PRD-0125;Bureau compact;18;471.82;0;8492.76
LIG-0000263;CMD-000099;PRD-0055;Électroportatif recyclé;17;176.8;0;3005.6
LIG-0000264;CMD-000100;PRD-0155;Palette compact;1;27.98;20;22.38
LIG-0000265;CMD-000101;PRD-0080;Main économique;1;533.87;0;533.87
LIG-0000266;CMD-000102;PRD-0087;Palette économique;8;2.84;0;22.72
LIG-0000267;CMD-000102;PRD-0138;Nettoyage économique;10;79.5;0;795
LIG-0000268;CMD-000103;PRD-0023;Nettoyage compact;2;109.63;0;219.26
LIG-0000269;CMD-000103;PRD-0160;Périphérique compact;5;493.39;0;2466.95
LIG-0000270;CMD-000103;PRD-0017;Film recyclé;6;35.22;10;190.19
LIG-0000271;CMD-000104;PRD-0108;Mesure recyclé;10;429.07;15;3647.1
LIG-0000272;CMD-000104;PRD-0081;Nettoyage standard;1;19.45;0;19.45
LIG-0000273;CMD-000104;PRD-0088;Hygiène professionnel;4;97.96;0;391.84
LIG-0000274;CMD-000104;PRD-0044;Siège grand format;1;914.38;0;914.38
LIG-0000275;CMD-000104;PRD-0173;Électroportatif professionnel;9;20.89;15;159.81
LIG-0000276;CMD-000104;PRD-0134;Bureau compact;3;627.92;5;1789.57
LIG-0000277;CMD-000105;PRD-0113;Main professionnel;26;272.38;0;7081.88
LIG-0000278;CMD-000106;PRD-0013;Protection économique;1;36.28;15;30.84
LIG-0000279;CMD-000106;PRD-0078;Classement grand format;12;2.37;0;28.44
LIG-0000280;CMD-000106;PRD-0083;Écriture renforcé;5;26.72;15;113.56
LIG-0000281;CMD-000106;PRD-0159;Consommable économique;1;276.27;0;276.27
LIG-0000282;CMD-000107;PRD-0099;Film renforcé;6;20.67;0;124.02
LIG-0000283;CMD-000108;PRD-0007;Périphérique standard;7;1276.11;20;7146.22
LIG-0000284;CMD-000108;PRD-0046;Consommable grand format;2;1058.85;0;2117.7
LIG-0000285;CMD-000109;PRD-0101;Protection standard;1;24.12;0;24.12
LIG-0000286;CMD-000110;PRD-0023;Nettoyage compact;4;109.63;0;438.52
LIG-0000287;CMD-000111;PRD-0155;Palette compact;1;27.98;15;23.78
LIG-0000288;CMD-000112;PRD-0172;Rangement recyclé;5;502.43;0;2512.15
LIG-0000289;CMD-000112;PRD-0018;Siège standard;1;484.37;0;484.37
LIG-0000290;CMD-000112;PRD-0169;Mesure premium;14;46.72;0;654.08
LIG-0000291;CMD-000113;PRD-0123;Classement professionnel;4;8.95;0;35.8
LIG-0000292;CMD-000113;PRD-0043;Carton renforcé;10;7.59;0;75.9
LIG-0000293;CMD-000113;PRD-0096;Électroportatif premium;8;14.07;0;112.56
LIG-0000294;CMD-000114;PRD-0059;Écriture renforcé;12;23.3;0;279.6
LIG-0000295;CMD-000114;PRD-0045;Carton compact;14;25.31;5;336.62
LIG-0000296;CMD-000114;PRD-0087;Palette économique;7;2.84;10;17.89
LIG-0000297;CMD-000114;PRD-0078;Classement grand format;4;2.37;0;9.48
LIG-0000298;CMD-000114;PRD-0077;Électroportatif premium;12;147.99;0;1775.88
LIG-0000299;CMD-000115;PRD-0047;Papier recyclé;3;18.64;0;55.92
LIG-0000300;CMD-000115;PRD-0180;Siège grand format;8;382.49;5;2906.92
LIG-0000301;CMD-000115;PRD-0104;Protection renforcé;1;7.67;15;6.52
LIG-0000302;CMD-000115;PRD-0169;Mesure premium;4;46.72;10;168.19
LIG-0000303;CMD-000116;PRD-0089;Main professionnel;1;94.19;0;94.19
LIG-0000304;CMD-000117;PRD-0103;Bureau grand format;1;905.69;0;905.69
LIG-0000305;CMD-000118;PRD-0039;Siège professionnel;1;479.93;10;431.94
LIG-0000306;CMD-000118;PRD-0126;Carton économique;1;37.56;0;37.56
LIG-0000307;CMD-000118;PRD-0104;Protection renforcé;3;7.67;0;23.01
LIG-0000308;CMD-000118;PRD-0021;Film professionnel;4;31.13;10;112.07
LIG-0000309;CMD-000119;PRD-0038;Film renforcé;1;28.5;0;28.5
LIG-0000310;CMD-000119;PRD-0175;Film grand format;1;19.42;0;19.42
LIG-0000311;CMD-000120;PRD-0143;Consommable standard;9;212.9;0;1916.1
LIG-0000312;CMD-000120;PRD-0031;Bureau compact;16;0;0;0
LIG-0000313;CMD-000120;PRD-0153;Papier grand format;4;5.11;0;20.44
LIG-0000314;CMD-000120;PRD-0016;Consommable recyclé;7;654.03;0;4578.21
LIG-0000315;CMD-000121;PRD-0060;Réseau recyclé;14;415.19;15;4940.76
LIG-0000316;CMD-000121;PRD-0021;Film professionnel;12;31.13;0;373.56
LIG-0000317;CMD-000121;PRD-0092;Nettoyage standard;7;66.06;0;462.42
LIG-0000318;CMD-000122;PRD-0065;Écriture compact;13;9.13;0;118.69
LIG-0000319;CMD-000122;PRD-0033;Palette renforcé;1;10.07;0;10.07
LIG-0000320;CMD-000122;PRD-0086;Film économique;13;12.18;0;158.34
LIG-0000321;CMD-000122;PRD-0043;Carton renforcé;13;7.59;0;98.67
LIG-0000322;CMD-000123;PRD-0013;Protection économique;7;36.28;0;253.96
LIG-0000323;CMD-000123;PRD-0057;Nettoyage compact;2;16.81;0;33.62
LIG-0000324;CMD-000123;PRD-0073;Périphérique professionnel;7;1490.22;0;10431.54
LIG-0000325;CMD-000124;PRD-0127;Périphérique recyclé;18;1658.24;0;29848.32
LIG-0000326;CMD-000124;PRD-0103;Bureau grand format;16;905.69;0;14491.04
LIG-0000327;CMD-000124;PRD-0065;Écriture compact;12;9.13;0;109.56
LIG-0000328;CMD-000124;PRD-0146;Hygiène recyclé;10;67.78;0;677.8
LIG-0000329;CMD-000125;PRD-0025;Écriture compact;11;15.91;0;175.01
LIG-0000330;CMD-000126;PRD-0026;Protection compact;7;14.12;0;98.84
LIG-0000331;CMD-000126;PRD-0063;Nettoyage renforcé;1;86.74;0;86.74
