id_facture;numero;id_commande;id_client;date_facture;date_echeance;date_reglement;montant_ht;montant_ttc;statut_reglement;mode_reglement
FAC-000050;FAC-2023-000050;CMD-000050;CLI-02492;2023-09-30;2023-10-30;2023-10-26;11512.12;13814.54;payée;Virement
FAC-000051;FAC-2023-000051;CMD-000051;CLI-00933;2023-10-07;2023-11-06;2023-12-10;353;423.6;payée;Chèque
FAC-000052;FAC-2023-000052;CMD-000052;CLI-01970;2023-09-23;2023-10-23;2023-11-16;6976.83;8372.2;payée;Prélèvement
FAC-000053;FAC-2023-000053;CMD-000053;CLI-02158;2023-10-04;2023-11-03;2023-10-21;10842.25;13010.7;payée;Chèque
FAC-000054;FAC-2023-000054;CMD-000054;CLI-00545;2023-10-06;2023-11-05;2023-10-17;1603.97;1924.76;payée;Chèque
FAC-000055;FAC-2023-000055;CMD-000055;CLI-00243;2023-10-03;2023-11-02;2023-10-28;75.48;90.58;payée;Virement
FAC-000056;FAC-2023-000056;CMD-000056;CLI-00672;2023-09-23;2023-10-23;2023-10-17;685.72;822.86;payée;Carte
FAC-000057;FAC-2023-000057;CMD-000057;CLI-01006;2023-09-30;2023-10-30;2023-12-01;2457.08;2948.5;payée;Virement
FAC-000058;FAC-2023-000058;CMD-000058;CLI-02421;2023-10-07;2023-11-06;2023-10-31;1840.26;2208.31;payée;Chèque
FAC-000059;FAC-2023-000059;CMD-000059;CLI-02228;2023-09-17;2023-10-17;2023-10-14;9176.73;11012.08;payée;Prélèvement
FAC-000060;FAC-2023-000060;CMD-000060;CLI-00585;2023-10-01;2023-10-31;2023-12-17;13408.42;16090.1;payée;Chèque
FAC-000061;FAC-2023-000061;CMD-000061;CLI-01587;2023-09-19;2023-10-19;;979.6;1175.52;en retard;Virement
FAC-000062;FAC-2023-000062;CMD-000062;CLI-00024;2023-09-30;2023-10-30;2023-10-22;1814.3;2177.16;payée;Prélèvement
FAC-000063;FAC-2023-000063;CMD-000063;CLI-00270;2023-09-22;2023-10-22;2023-10-15;7464.97;8957.96;payée;Chèque
FAC-000064;FAC-2023-000064;CMD-000064;CLI-00769;2023-09-19;2023-10-19;2023-10-19;13466.47;16159.76;payée;Virement
FAC-000065;FAC-2023-000065;CMD-000065;CLI-00725;2023-09-25;2023-10-25;2023-12-26;5518.07;6621.68;payée;Chèque
FAC-000066;FAC-2023-000066;CMD-000066;CLI-00766;2023-09-25;2023-10-25;2023-10-19;2787.71;3345.25;payée;Virement
FAC-000067;FAC-2023-000067;CMD-000067;CLI-01503;2023-09-19;2023-10-19;2023-10-19;4246.38;5095.66;payée;Chèque
FAC-000068;FAC-2023-000068;CMD-000068;CLI-01918;2023-10-03;2023-11-02;2023-10-15;41.74;50.09;payée;Carte
FAC-000069;FAC-2023-000069;CMD-000069;CLI-01302;2023-09-20;2023-10-20;2023-10-12;6504.16;7804.99;payée;Carte
FAC-000070;FAC-2023-000070;CMD-000070;CLI-00204;2023-10-03;2023-11-02;;2853.94;3424.73;en retard;Chèque
FAC-000071;FAC-2023-000071;CMD-000071;CLI-02233;2023-10-02;2023-11-01;;14482.95;17379.54;en retard;Virement
FAC-000072;FAC-2023-000072;CMD-000072;CLI-00767;2023-10-06;2023-11-05;2023-12-15;8892.81;10671.37;payée;Prélèvement
FAC-000073;FAC-2023-000073;CMD-000073;CLI-00745;2023-10-01;2023-10-31;2023-11-09;246.01;295.21;payée;Carte
FAC-000074;FAC-2023-000074;CMD-000075;CLI-02452;2023-09-22;2023-10-22;2023-10-16;11334.42;13601.3;payée;Chèque
FAC-000075;FAC-2023-000075;CMD-000076;CLI-01226;2023-10-02;2023-11-01;2023-10-28;822.75;987.3;payée;Prélèvement
FAC-000076;FAC-2023-000076;CMD-000077;CLI-01093;2023-09-28;2023-10-28;2023-10-21;2540.95;3049.14;payée;Prélèvement
FAC-000077;FAC-2023-000077;CMD-000078;CLI-00604;2023-09-22;2023-10-22;2023-12-07;25155.2;30186.24;payée;Prélèvement
FAC-000078;FAC-2023-000078;CMD-000080;CLI-01017;2023-09-20;2023-10-20;2023-11-18;5806.51;6967.81;payée;Virement
FAC-000079;FAC-2023-000079;CMD-000081;CLI-01124;2023-10-08;2023-11-07;;610.87;733.04;en retard;Prélèvement
FAC-000080;FAC-2023-000080;CMD-000082;CLI-00961;2023-09-30;2023-10-30;2023-10-14;31.64;37.97;payée;Chèque
FAC-000081;FAC-2023-000081;CMD-000083;CLI-00389;2023-10-01;2023-10-31;2023-10-29;1707.34;2048.81;payée;Prélèvement
FAC-000082;FAC-2023-000082;CMD-000084;CLI-02132;2023-09-18;2023-10-18;2023-10-31;16.73;20.08;payée;Virement
FAC-000083;FAC-2023-000083;CMD-000085;CLI-00718;2023-09-18;2023-10-18;2023-10-24;8037.54;9645.05;payée;Carte
FAC-000084;FAC-2023-000084;CMD-000086;CLI-00290;2023-09-22;2023-10-22;2023-10-09;11723.2;14067.84;payée;Virement
FAC-000085;FAC-2023-000085;CMD-000087;CLI-00638;2023-09-27;2023-10-27;2023-10-10;465.53;558.64;payée;Prélèvement
FAC-000086;FAC-2023-000086;CMD-000088;CLI-01786;2023-10-02;2023-11-01;2024-01-01;6400.78;7680.94;payée;Prélèvement
FAC-000087;FAC-2023-000087;CMD-000089;CLI-00433;2023-10-03;2023-11-02;2023-10-25;8.1;9.72;payée;Carte
FAC-000088;FAC-2023-000088;CMD-000090;CLI-00408;2023-09-23;2023-10-23;2023-10-06;2022.86;2427.43;payée;Virement
FAC-000089;FAC-2023-000089;CMD-000091;CLI-00402;2023-10-06;2023-11-05;2023-10-17;707.7;849.24;payée;Virement
FAC-000090;FAC-2023-000090;CMD-000092;CLI-00792;2023-09-30;2023-10-30;2023-10-11;1229;1474.8;payée;Carte
FAC-000091;FAC-2023-000091;CMD-000093;CLI-00603;2023-10-08;2023-11-07;2023-11-08;237.96;285.55;payée;Virement
FAC-000092;FAC-2023-000092;CMD-000094;CLI-00533;2023-10-07;2023-11-06;2023-10-18;936.11;1123.33;payée;Chèque
FAC-000093;FAC-2023-000093;CMD-000095;CLI-01102;2023-09-28;2023-10-28;2023-10-20;46.45;55.74;payée;Virement
FAC-000094;FAC-2023-000094;CMD-000096;CLI-00643;2023-10-04;2023-11-03;2023-10-26;17799.52;21359.42;payée;Prélèvement
FAC-000095;FAC-2023-000095;CMD-000097;CLI-00981;2023-10-09;2023-11-08;2023-12-05;3399.01;4078.81;payée;Chèque
FAC-000096;FAC-2023-000096;CMD-000098;CLI-01640;2023-09-21;2023-10-21;2023-10-06;8492.76;10191.31;payée;Prélèvement
FAC-000097;FAC-2023-000097;CMD-000099;CLI-01532;2023-09-22;2023-10-22;2023-10-11;3005.6;3606.72;payée;Prélèvement
FAC-000098;FAC-2023-000098;CMD-000100;CLI-00144;2023-10-03;2023-11-02;2023-10-24;22.38;26.86;payée;Virement
FAC-000099;FAC-2023-000099;CMD-000101;CLI-00470;2023-09-25;2023-10-25;2023-10-29;533.87;640.64;payée;Virement
FAC-000100;FAC-2023-000100;CMD-000102;CLI-00134;2023-10-07;2023-11-06;2023-10-27;817.72;981.26;payée;Prélèvement
FAC-000101;FAC-2023-000101;CMD-000103;CLI-00381;2023-09-29;2023-10-29;;2876.4;3451.68;en retard;Chèque
FAC-000102;FAC-2023-000102;CMD-000104;CLI-00015;2023-09-24;2023-10-24;2023-11-01;6922.15;8306.58;payée;Virement
FAC-000103;FAC-2023-000103;CMD-000105;CLI-01350;2023-10-08;2023-11-07;2023-11-12;7081.88;8498.26;payée;Virement
FAC-000104;FAC-2023-000104;CMD-000107;CLI-00810;2023-10-02;2023-11-01;2023-10-16;124.02;148.82;payée;Prélèvement
FAC-000105;FAC-2023-000105;CMD-000108;CLI-01208;2023-10-06;2023-11-05;2023-11-04;9263.92;11116.7;payée;Virement
FAC-000106;FAC-2023-000106;CMD-000109;CLI-00178;2023-10-04;2023-11-03;;24.12;28.94;en retard;Chèque
FAC-000107;FAC-2023-000107;CMD-000110;CLI-01500;2023-10-02;2023-11-01;;438.52;526.22;en retard;Virement
FAC-000108;FAC-2023-000108;CMD-000111;CLI-00525;2023-09-30;2023-10-30;2023-10-21;23.78;28.54;payée;Virement
FAC-000109;FAC-2023-000109;CMD-000112;CLI-00500;2023-10-03;2023-11-02;2023-10-28;3650.6;4380.72;payée;Chèque
FAC-000110;FAC-2023-000110;CMD-000113;CLI-00677;2023-09-23;2023-10-23;2023-12-30;224.26;269.11;payée;Virement
FAC-000111;FAC-2023-000111;CMD-000114;CLI-00503;2023-09-28;2023-10-28;2023-10-31;2419.47;2903.36;payée;Carte
FAC-000112;FAC-2023-000112;CMD-000115;CLI-02119;2023-10-07;2023-11-06;2023-11-23;3137.55;3765.06;payée;Prélèvement
FAC-000113;FAC-2023-000113;CMD-000116;CLI-00528;2023-09-19;2023-10-19;2023-10-13;94.19;113.03;payée;Virement
FAC-000114;FAC-2023-000114;CMD-000117;CLI-02052;2023-10-07;2023-11-06;2023-10-30;905.69;1086.83;payée;Chèque
FAC-000115;FAC-2023-000115;CMD-000119;CLI-00415;2023-09-19;2023-10-19;2023-10-09;47.92;57.5;payée;Prélèvement
FAC-000116;FAC-2023-000116;CMD-000120;CLI-00740;2023-09-24;2023-10-24;2023-10-29;6514.75;7817.7;payée;Carte
FAC-000117;FAC-2023-000117;CMD-000122;CLI-02020;2023-09-22;2023-10-22;2023-10-07;377.85;453.42;payée;Chèque
FAC-000118;FAC-2023-000118;CMD-000123;CLI-02454;2023-10-10;2023-11-09;;10719.12;12862.94;en retard;Virement
FAC-000119;FAC-2023-000119;CMD-000124;CLI-01405;2023-09-24;2023-10-24;2023-10-11;45126.72;54152.06;payée;Carte
FAC-000120;FAC-2023-000120;CMD-000125;CLI-02182;2023-09-21;2023-10-21;;175.01;210.01;en retard;Chèque
FAC-000121;FAC-2023-000121;CMD-000126;CLI-02342;2023-09-20;2023-10-20;2023-10-07;185.58;222.7;payée;Prélèvement
FAC-000122;FAC-2023-000122;CMD-000127;CLI-00546;2023-09-25;2023-10-25;2023-10-20;3876.55;4651.86;payée;Virement
FAC-000123;FAC-2023-000123;CMD-000128;CLI-00180;2023-09-27;2023-10-27;2023-10-26;5720.58;6864.7;payée;Prélèvement
FAC-000124;FAC-2023-000124;CMD-000129;CLI-00910;2023-09-24;2023-10-24;2023-10-05;20907.74;25089.29;payée;Carte
FAC-000125;FAC-2023-000125;CMD-000130;CLI-00970;2023-10-07;2023-11-06;2023-11-20;14615.58;17538.7;payée;Chèque
FAC-000126;FAC-2023-000126;CMD-000131;CLI-00050;2023-10-01;2023-10-31;;1443.25;1731.9;en retard;Chèque
FAC-000127;FAC-2023-000127;CMD-000132;CLI-00909;2023-09-26;2023-10-26;;4779.24;5735.09;en retard;Carte
FAC-000128;FAC-2023-000128;CMD-000133;CLI-00820;2023-10-06;2023-11-05;2023-12-14;26.78;32.14;payée;Chèque
FAC-000129;FAC-2023-000129;CMD-996301;CLI-00008;2023-09-20;2023-10-20;2023-10-27;4166.47;4999.76;payée;Prélèvement
FAC-000130;FAC-2023-000130;CMD-000135;CLI-01847;2023-09-29;2023-10-29;2023-10-19;12695.33;15234.4;payée;Chèque
FAC-000131;FAC-2023-000131;CMD-000136;CLI-02483;2023-10-10;2023-11-09;2023-10-24;1410.7;1692.84;payée;Chèque
FAC-000132;FAC-2023-000132;CMD-000137;CLI-02465;2023-09-25;2023-10-25;2023-10-14;169.35;203.22;payée;Carte
FAC-000133;FAC-2023-000133;CMD-000138;CLI-02035;2023-10-02;2023-11-01;2023-10-30;8561.97;10274.36;payée;Virement
FAC-000134;FAC-2023-000134;CMD-000139;CLI-01494;2023-10-10;2023-11-09;2023-11-13;19654.92;23585.9;payée;Prélèvement
FAC-000135;FAC-2023-000135;CMD-000140;CLI-00056;2023-09-30;2023-10-30;;1389.96;1667.95;en retard;Virement
FAC-000136;FAC-2023-000136;CMD-000141;CLI-01115;2023-09-21;2023-10-21;2023-10-01;1340.71;1608.85;payée;Virement
FAC-000137;FAC-2023-000137;CMD-000142;CLI-02058;2023-10-08;2023-11-07;2023-10-27;93.2;111.84;payée;Carte
FAC-000138;FAC-2023-000138;CMD-000143;CLI-02389;2023-10-10;2023-11-09;2024-01-16;10423.18;12507.82;payée;Virement
FAC-000139;FAC-2023-000139;CMD-000144;CLI-02080;2023-10-02;2023-11-01;2024-01-23;7895.26;9474.31;payée;Chèque
FAC-000140;FAC-2023-000140;CMD-000145;CLI-00232;2023-09-21;2023-10-21;2023-10-04;1408.41;1690.09;payée;Virement
FAC-000141;FAC-2023-000141;CMD-000146;CLI-00527;2023-09-24;2023-10-24;2023-10-15;4501.6;5401.92;payée;Carte
FAC-000142;FAC-2023-000142;CMD-000147;CLI-02206;2023-10-06;2023-11-05;2023-11-11;1874.72;2249.66;payée;Virement
FAC-000143;FAC-2023-000143;CMD-000148;CLI-01597;2023-09-20;2023-10-20;2023-10-01;227.73;273.28;payée;Chèque
FAC-000144;FAC-2023-000144;CMD-000149;CLI-01805;2023-10-10;2023-11-09;2023-12-17;2467.29;2960.75;payée;Chèque
FAC-000145;FAC-2023-000145;CMD-000150;CLI-02258;2023-10-06;2023-11-05;2023-11-05;646.64;775.97;payée;Carte
FAC-000146;FAC-2023-000146;CMD-000151;CLI-01490;2023-09-28;2023-10-28;2023-11-05;15633.1;18759.72;payée;Carte
FAC-000147;FAC-2023-000147;CMD-000152;CLI-01342;2023-10-09;2023-11-08;2023-11-01;3055.67;3666.8;payée;Prélèvement
FAC-000148;FAC-2023-000148;CMD-000153;CLI-00042;2023-09-27;2023-10-27;2023-10-26;13230.61;15876.73;payée;Prélèvement
FAC-000149;FAC-2023-000149;CMD-000154;CLI-00108;2023-09-23;2023-10-23;2023-10-14;105.99;127.19;payée;Virement
FAC-000150;FAC-2023-000150;CMD-000155;CLI-02119;2023-09-23;2023-10-23;2023-10-06;371.75;446.1;payée;Chèque
FAC-000151;FAC-2023-000151;CMD-000156;CLI-00146;2023-10-04;2023-11-03;2023-11-03;637.35;764.82;payée;Virement
FAC-000152;FAC-2023-000152;CMD-000157;CLI-02394;2023-10-03;2023-11-02;2023-11-12;907.04;1088.45;payée;Prélèvement
FAC-000153;FAC-2023-000153;CMD-000158;CLI-01492;2023-10-07;2023-11-06;2023-10-26;2244.46;2693.35;payée;Carte
FAC-000154;FAC-2023-000154;CMD-000159;CLI-02442;2023-09-30;2023-10-30;2023-10-10;8863.93;10636.72;payée;Chèque
FAC-000155;FAC-2023-000155;CMD-000160;CLI-01173;2023-10-09;2023-11-08;2023-10-21;3854.42;4625.3;payée;Carte
FAC-000156;FAC-2023-000156;CMD-000161;CLI-01848;2023-09-27;2023-10-27;2023-11-13;242.56;291.07;payée;Prélèvement
FAC-000157;FAC-2023-000157;CMD-000162;CLI-00890;2023-10-07;2023-11-06;2023-10-24;30.94;37.13;payée;Chèque
FAC-000158;FAC-2023-000158;CMD-000163;CLI-01886;2023-10-04;2023-11-03;2023-11-05;94.19;113.03;payée;Carte
FAC-000159;FAC-2023-000159;CMD-000164;CLI-02072;2023-09-26;2023-10-26;2023-10-18;2511.68;3014.02;payée;Carte
FAC-000160;FAC-2023-000160;CMD-000165;CLI-01637;2023-10-06;2023-11-05;2023-10-22;8125.26;9750.31;payée;Prélèvement
FAC-000161;FAC-2023-000161;CMD-000166;CLI-00054;2023-09-30;2023-10-30;2023-10-29;90.61;108.73;payée;Prélèvement
FAC-000162;FAC-2023-000162;CMD-000167;CLI-01798;2023-10-10;2023-11-09;;312.14;374.57;en retard;Carte
FAC-000163;FAC-2023-000163;CMD-000170;CLI-00490;2023-10-05;2023-11-04;2023-10-17;696.08;835.3;payée;Prélèvement
FAC-000164;FAC-2023-000164;CMD-000171;CLI-01234;2023-10-06;2023-11-05;;281.13;337.36;en retard;Carte
FAC-000165;FAC-2023-000165;CMD-000173;CLI-01733;2023-10-04;2023-11-03;2023-10-17;515.54;618.65;payée;Carte
FAC-000166;FAC-2023-000166;CMD-000174;CLI-01664;2023-10-07;2023-11-06;2023-10-22;3835.9;4603.08;payée;Chèque
FAC-000167;FAC-2023-000167;CMD-000175;CLI-02249;2023-09-29;2023-10-29;;173.1;207.72;en retard;Virement
FAC-000168;FAC-2023-000168;CMD-000176;CLI-01469;2023-10-10;2023-11-09;2023-10-31;9902.19;11882.63;payée;Carte
FAC-000169;FAC-2023-000169;CMD-000177;CLI-01039;2023-09-30;2023-10-30;2024-01-06;510.23;612.28;payée;Chèque
FAC-000170;FAC-2023-000170;CMD-000178;CLI-01532;2023-10-04;2023-11-03;2023-11-15;1320.57;1584.68;payée;Carte
FAC-000171;FAC-2023-000171;CMD-000179;CLI-00457;2023-10-07;2023-11-06;2023-11-08;420.78;504.94;payée;Chèque
FAC-000172;FAC-2023-000172;CMD-000180;CLI-02082;2023-10-06;2023-11-05;2023-12-28;1772.7;2127.24;payée;Prélèvement
FAC-000173;FAC-2023-000173;CMD-000181;CLI-00138;2023-10-07;2023-11-06;2023-11-03;534.99;641.99;payée;Carte
FAC-000174;FAC-2023-000174;CMD-000182;CLI-01776;2023-10-09;2023-11-08;2023-11-06;1421.17;1705.4;payée;Prélèvement
FAC-000175;FAC-2023-000175;CMD-000183;CLI-00403;2023-09-26;2023-10-26;2023-10-14;32348.52;38818.22;payée;Prélèvement
FAC-000176;FAC-2023-000176;CMD-000184;CLI-01131;2023-09-28;2023-10-28;2023-10-13;4935.26;5922.31;payée;Chèque
FAC-000177;FAC-2023-000177;CMD-000185;CLI-00577;2023-10-05;2023-11-04;2023-10-20;945.16;1134.19;payée;Chèque
FAC-000178;FAC-2023-000178;CMD-000186;CLI-02477;2023-09-26;2023-10-26;2023-10-12;14655.42;17586.5;payée;Carte
FAC-000179;FAC-2023-000179;CMD-000187;CLI-00893;2023-09-24;2023-10-24;2023-10-12;552.51;663.01;payée;Chèque
FAC-000180;FAC-2023-000180;CMD-000188;CLI-00298;2023-09-26;2023-10-26;2023-10-07;5673.78;6808.54;payée;Prélèvement
FAC-000181;FAC-2023-000181;CMD-000190;CLI-00708;2023-10-10;2023-11-09;2023-11-07;1149.19;1379.03;payée;Prélèvement
FAC-000182;FAC-2023-000182;CMD-000191;CLI-02406;2023-10-10;2023-11-09;;3083.62;3700.34;en retard;Virement
FAC-000183;FAC-2023-000183;CMD-000192;CLI-00194;2023-10-05;2023-11-04;2023-10-29;5.61;6.73;payée;Chèque
FAC-000184;FAC-2023-000184;CMD-000193;CLI-01395;2023-09-28;2023-10-28;2023-11-10;2379.65;2855.58;payée;Prélèvement
FAC-000185;FAC-2023-000185;CMD-000194;CLI-00487;2023-09-29;2023-10-29;2023-10-14;1440.63;1728.76;payée;Prélèvement
FAC-000186;FAC-2023-000186;CMD-000195;CLI-01950;2023-10-01;2023-10-31;;4313.57;5176.28;en retard;Virement
FAC-000187;FAC-2023-000187;CMD-000196;CLI-00494;2023-09-26;2023-10-26;2023-10-26;1883.04;2259.65;payée;Carte
FAC-000188;FAC-2023-000188;CMD-000197;CLI-00506;2023-10-09;2023-11-08;2023-11-01;213.2;255.84;payée;Carte
FAC-000189;FAC-2023-000189;CMD-000198;CLI-01362;2023-10-05;2023-11-04;2023-11-04;1037.46;1244.95;payée;Carte
FAC-000190;FAC-2023-000190;CMD-000199;CLI-00361;2023-10-14;2023-11-13;2024-01-08;1127.87;1353.44;payée;Virement
FAC-000191;FAC-2023-000191;CMD-000200;CLI-02459;2023-10-08;2023-11-07;2023-10-30;3759.58;4511.5;payée;Carte
FAC-000192;FAC-2023-000192;CMD-000201;CLI-01889;2023-10-13;2023-11-12;2024-01-24;396.1;475.32;payée;Virement
FAC-000193;FAC-2023-000193;CMD-000202;CLI-00779;2023-09-24;2023-10-24;;2965.45;3558.54;en retard;Prélèvement
FAC-000194;FAC-2023-000194;CMD-000203;CLI-01979;2023-09-30;2023-10-30;2023-10-18;512.06;614.47;payée;Virement
FAC-000195;FAC-2023-000195;CMD-000204;CLI-01106;2023-10-14;2023-11-13;2023-11-10;794.07;952.88;payée;Prélèvement
FAC-000196;FAC-2023-000196;CMD-000205;CLI-00964;2023-09-27;2023-10-27;2023-10-17;11195.01;13434.01;payée;Chèque
FAC-000197;FAC-2023-000197;CMD-000206;CLI-00638;2023-10-09;2023-11-08;;313.11;375.73;en retard;Prélèvement
FAC-000198;FAC-2023-000198;CMD-000207;CLI-01139;2023-10-03;2023-11-02;2023-10-18;284.48;341.38;payée;Virement
FAC-000199;FAC-2023-000199;CMD-000209;CLI-02001;2023-10-14;2023-11-13;2023-11-09;50.35;60.42;payée;Prélèvement
FAC-000200;FAC-2023-000200;CMD-000210;CLI-00832;2023-10-05;2023-11-04;2023-12-02;1015.04;1218.05;payée;Prélèvement
FAC-000201;FAC-2023-000201;CMD-000211;CLI-01422;2023-10-12;2023-11-11;2023-11-17;1289.57;1547.48;payée;Carte
FAC-000202;FAC-2023-000202;CMD-000212;CLI-01292;2023-09-24;2023-10-24;2023-10-27;8234.53;9881.44;payée;Virement
