id_commande;reference;id_client;id_site;id_commercial;canal;date_commande;date_livraison_prevue;date_livraison_reelle;statut;nombre_lignes;montant_ht;remise_pct;montant_ttc;devise
CMD-000013;C2023-000013;CLI-01287;SIT-01611;COM-0031;Web;2023-09-11;2023-09-16;2023-09-22;livrée;3;13939.65;0;16727.58;EUR
CMD-000014;C2023-000014;CLI-00192;;COM-0041;Partenaire;2023-09-11;2023-09-25;2023-09-30;livrée;3;352.96;0;423.55;EUR
CMD-000015;C2023-000015;CLI-02062;;COM-0017;Téléphone;2023-09-11;2023-09-20;2023-09-30;livrée;3;166.88;0;200.26;EUR
CMD-000016;C2023-000016;CLI-02127;SIT-02671;COM-0022;Appel d’offres;2023-09-11;2023-09-18;2023-09-26;livrée;3;2280.1;0;2736.12;EUR
CMD-000017;C2023-000017;CLI-01273;SIT-01586;COM-0035;Téléphone;2023-09-11;2023-09-24;2023-09-30;livrée;2;10945.6;10;13134.72;EUR
CMD-000018;C2023-000018;CLI-01476;SIT-01857;COM-0034;Web;2023-09-11;2023-09-26;2023-10-02;livrée;2;125.33;0;150.4;EUR
CMD-000019;C2023-000019;CLI-00061;;COM-0010;Téléphone;2023-09-11;2023-09-24;2023-09-24;livrée;1;5838.47;0;7006.16;EUR
CMD-000020;C2023-000020;CLI-00010;SIT-00012;COM-0052;Téléphone;2023-09-11;2023-09-18;2023-09-30;livrée;1;134.02;10;160.82;EUR
CMD-000021;C2023-000021;CLI-00234;SIT-00297;COM-0027;Appel d’offres;2023-09-11;2023-09-24;2023-10-06;livrée;1;262.92;10;315.5;EUR
CMD-000022;C2023-000022;CLI-01487;SIT-01870;COM-0010;Appel d’offres;2023-09-11;2023-09-16;2023-09-14;livrée;2;4036.07;0;4843.28;EUR
CMD-000023;C2023-000023;CLI-00400;SIT-00486;COM-0017;Appel d’offres;2023-09-11;2023-09-17;2023-09-20;livrée;2;1299.15;0;1558.98;EUR
CMD-000024;C2023-000024;CLI-01685;SIT-02120;COM-0040;Partenaire;2023-09-11;2023-09-20;2023-10-02;livrée;4;5439.62;0;6527.54;EUR
CMD-000025;C2023-000025;CLI-01528;SIT-01932;COM-0042;Partenaire;2023-09-11;2023-09-17;2023-09-24;livrée;5;31025.34;0;37230.41;EUR
CMD-000026;C2023-000026;CLI-01721;;COM-0049;Téléphone;2023-09-11;2023-09-15;2023-09-18;livrée;1;14.54;0;17.45;EUR
CMD-000027;C2023-000027;CLI-02158;SIT-02719;COM-0050;Partenaire;11/09/2023;2023-09-18;2023-09-30;livrée;3;752.11;10;902.53;EUR
CMD-000028;C2023-000028;CLI-02413;SIT-03032;COM-0045;Téléphone;11/09/2023;2023-09-23;2023-09-29;livrée;1;560.64;2;672.77;EUR
CMD-000029;C2023-000029;CLI-00717;SIT-00891;COM-0040;Agence;2023-09-11;2023-09-23;2023-10-04;livrée;2;10385.2;0;12462.24;EUR
CMD-000030;C2023-000030;CLI-00882;SIT-01096;COM-0028;Web;2023-09-11;2023-09-22;2023-09-27;livrée;2;4567.36;0;5480.83;EUR
CMD-000031;C2023-000031;CLI-00014;SIT-00014;COM-0001;Téléphone;2023-09-11;2023-09-24;2023-09-26;livrée;3;1105.68;0;1326.82;EUR
CMD-000032;C2023-000032;CLI-01478;SIT-01858;COM-0041;Téléphone;2023-09-11;2023-09-19;2023-09-22;livrée;4;10319.89;0;12383.87;EUR
CMD-000033;C2023-000033;CLI-02011;SIT-02513;COM-0012;Web;2023-09-11;2023-09-17;2023-09-21;livrée;3;6261.79;0;7514.15;EUR
CMD-000034;C2023-000034;CLI-01794;SIT-02248;COM-0041;Web;2023-09-11;2023-09-14;2023-09-26;livrée;1;19.42;0;23.3;EUR
CMD-000035;C2023-000035;CLI-00527;SIT-00641;COM-0043;Partenaire;2023-09-11;2023-09-15;2023-09-22;livrée;5;2601.39;0;3121.67;EUR
CMD-000036;C2023-000036;CLI-00974;SIT-01213;COM-0035;Partenaire;2023-09-11;2023-09-17;2023-09-18;livrée;2;1381.78;2;1658.14;EUR
CMD-000037;C2023-000037;CLI-01386;;COM-0042;Agence;2023-09-11;2023-09-25;2023-09-29;livrée;1;732.7;0;879.24;EUR
CMD-000038;C2023-000038;CLI-01079;SIT-01340;COM-0036;Partenaire;2023-09-12;2023-09-21;2023-10-03;livrée;1;165.36;0;198.43;EUR
CMD-000039;C2023-000039;CLI-01448;SIT-01827;COM-0033;Web;2023-09-12;2023-09-19;2023-09-24;livrée;1;0;0;0;EUR
CMD-000040;C2023-000040;CLI-99910;;COM-0014;Téléphone;2023-09-12;2023-09-20;2023-09-18;livrée;1;24.78;0;29.74;EUR
CMD-000041;C2023-000041;CLI-00327;SIT-00391;COM-0005;Téléphone;2023-09-12;2023-09-16;2023-09-18;livrée;2;12336.26;0;14803.51;EUR
CMD-000042;C2023-000042;CLI-01916;;COM-0052;Téléphone;2023-09-12;2023-09-17;2023-09-18;livrée;4;2045.39;0;2454.47;EUR
CMD-000043;C2023-000043;CLI-01581;SIT-01986;COM-0017;Téléphone;2023-09-12;2023-09-25;2023-10-06;livrée;3;1264.95;0;1517.94;EUR
CMD-000044;C2023-000044;CLI-01057;SIT-01308;COM-0021;Téléphone;2023-09-12;2023-09-21;2023-09-26;livrée;3;11520.28;0;13824.34;EUR
CMD-000045;C2023-000045;CLI-01700;;COM-0028;Appel d’offres;2023-09-12;2023-09-24;2023-09-22;livrée;4;2835.8;0;3402.96;EUR
CMD-000046;C2023-000046;CLI-02190;SIT-02774;COM-0044;Web;2023-09-12;2023-09-19;2023-09-24;livrée;1;2863.85;0;3436.62;EUR
CMD-000047;C2023-000047;CLI-00899;SIT-01109;COM-0014;Agence;2023-09-12;2023-09-19;2023-09-21;livrée;1;216.91;5;260.29;EUR
CMD-000048;C2023-000048;CLI-00626;SIT-00763;COM-0045;Téléphone;2023-09-12;2023-09-23;2023-09-29;livrée;2;1455.94;0;1747.13;EUR
CMD-000049;C2023-000049;CLI-00023;SIT-00019;COM-0025;Web;2023-09-12;2023-09-25;2023-10-03;livrée;1;91.05;0;109.26;EUR
CMD-000050;C2023-000050;CLI-02492;SIT-03131;COM-0018;Téléphone;2023-09-12;2023-09-22;2023-08-28;livrée;4;11512.12;0;13814.54;EUR
CMD-000051;C2023-000051;CLI-00933;SIT-01151;COM-0044;Partenaire;2023-09-12;2023-09-17;2023-09-21;livrée;1;353;0;423.6;EUR
CMD-000052;C2023-000052;CLI-01970;SIT-02461;COM-0044;Partenaire;2023-09-12;2023-09-21;2023-09-26;livrée;3;6976.83;0;8372.2;EUR
CMD-000053;C2023-000053;CLI-02158;SIT-02718;COM-0050;Agence;2023-09-12;2023-09-15;2023-09-16;livrée;5;10842.25;5;13010.7;EUR
CMD-000054;C2023-000054;CLI-00545;;COM-0037;Appel d’offres;2023-09-12;2023-09-27;2023-10-01;livrée;2;1603.97;10;1924.76;EUR
CMD-000055;C2023-000055;CLI-00243;SIT-00304;COM-0045;Web;2023-09-12;2023-09-20;2023-09-29;livrée;1;75.48;5;90.58;EUR
CMD-000056;C2023-000056;CLI-00672;SIT-00825;COM-0016;Téléphone;2023-09-12;2023-09-21;2023-10-01;livrée;1;685.72;0;822.86;EUR
CMD-000057;C2023-000057;CLI-01006;SIT-01257;COM-0053;Agence;2023-09-12;2023-09-24;2023-09-26;livrée;2;2457.08;0;2948.5;EUR
CMD-000058;C2023-000058;CLI-02421;SIT-03049;COM-0047;Appel d’offres;2023-09-12;2023-09-27;2023-10-03;livrée;5;1840.26;0;2208.31;EUR
CMD-000059;C2023-000059;CLI-02228;SIT-02812;COM-0048;Appel d’offres;2023-09-12;2023-09-26;2023-10-03;livrée;3;9176.73;0;11012.08;EUR
CMD-000060;C2023-000060;CLI-00585;;COM-0012;Partenaire;2023-09-12;2023-09-22;2023-09-28;livrée;2;13408.42;5;16090.1;EUR
CMD-000061;C2023-000061;CLI-01587;SIT-01993;COM-0040;Partenaire;2023-09-12;2023-09-18;2023-09-30;livrée;1;979.6;2;1175.52;EUR
CMD-000062;C2023-000062;CLI-00024;SIT-00020;COM-0032;Téléphone;2023-09-12;2023-09-25;2023-09-26;livrée;3;1814.3;10;2177.16;EUR
CMD-000063;C2023-000063;CLI-00270;SIT-00332;COM-0022;Téléphone;2023-09-12;2023-09-24;2023-10-03;livrée;3;7464.97;0;8957.96;EUR
CMD-000064;C2023-000064;CLI-00769;SIT-00941;COM-0011;Agence;2023-09-12;2023-09-15;2023-09-18;livrée;2;13466.47;0;16159.76;EUR
CMD-000065;C2023-000065;CLI-00725;SIT-00901;COM-0010;Agence;2023-09-12;2023-09-26;2023-09-28;livrée;5;5518.07;0;6621.68;EUR
CMD-000066;C2023-000066;CLI-00766;;COM-0049;Agence;2023-09-12;2023-09-17;2023-09-26;livrée;4;2787.71;0;3345.25;EUR
CMD-000067;C2023-000067;CLI-01503;SIT-01890;COM-0040;Web;2023-09-13;2023-09-24;2023-10-05;livrée;1;4246.38;10;5095.66;EUR
CMD-000068;C2023-000068;CLI-01918;;COM-0050;Appel d’offres;2023-09-13;2023-09-25;2023-10-04;livrée;2;41.74;0;50.09;EUR
CMD-000069;C2023-000069;CLI-01302;SIT-01633;COM-0010;Partenaire;2023-09-13;2023-09-19;2023-09-28;livrée;4;6504.16;5;7804.99;EUR
CMD-000070;C2024-005860;CLI-00204;SIT-00263;COM-0015;Web;2023-09-13;2023-09-17;2023-09-28;livrée;2;2853.94;0;3424.73;EUR
CMD-000071;C2023-000071;CLI-02233;;COM-0054;Agence;2023-09-13;2023-09-21;2023-09-20;livrée;3;14482.95;0;17379.54;EUR
CMD-000072;C2023-000072;CLI-00767;SIT-00938;COM-0016;Téléphone;2023-09-13;2023-09-22;2023-09-20;livrée;5;8892.81;0;10671.37;EUR
CMD-000073;C2023-000073;CLI-00745;;COM-0038;Web;2023-09-13;2023-09-24;2023-10-02;livrée;2;246.01;0;295.21;EUR
CMD-000074;C2023-000074;CLI-01797;SIT-02249;COM-0011;Web;2023-09-13;2023-09-25;;annulée;4;8697.69;0;10437.23;EUR
CMD-000075;C2023-000075;CLI-02452;;COM-0052;Agence;2023-09-13;2023-09-18;2023-09-27;livrée;4;11334.42;0;13601.3;EUR
CMD-000076;C2023-000076;CLI-01226;SIT-01532;COM-0019;Téléphone;2023-09-13;2023-09-23;2023-10-01;livrée;3;822.75;0;987.3;EUR
CMD-000077;C2023-000077;CLI-01093;;COM-0017;Agence;2023-09-13;2023-09-19;2023-09-22;livrée;4;2540.95;0;3049.14;EUR
CMD-000078;C2023-000078;CLI-00604;SIT-00737;COM-0002;Téléphone;2023-09-13;2023-09-24;2023-09-26;livrée;6;25155.2;0;30186.24;EUR
CMD-000079;C2023-000079;CLI-01208;SIT-01506;COM-0051;Partenaire;2023-09-13;2023-09-28;;annulée;4;4127.81;0;4953.37;EUR
CMD-000080;C2023-000080;CLI-01017;SIT-01263;COM-0050;Partenaire;2023-09-13;2023-09-18;2023-09-29;livrée;4;5806.51;10;6967.81;EUR
CMD-000081;C2023-000081;CLI-01124;;COM-0041;Appel d’offres;2023-09-13;2023-09-24;2023-09-22;livrée;4;610.87;0;733.04;EUR
CMD-000082;C2023-000082;CLI-00961;SIT-01191;COM-0037;Web;2023-09-13;2023-09-22;2023-09-21;livrée;1;31.64;0;37.97;EUR
CMD-000083;C2023-000083;CLI-00389;SIT-00474;COM-0052;Appel d’offres;2023-09-13;2023-09-23;2023-10-02;livrée;3;1707.34;0;2048.81;EUR
CMD-000084;C2023-000084;CLI-02132;;COM-0010;Appel d’offres;2023-09-13;2023-09-27;2023-10-07;Annulee;1;16.73;0;20.08;EUR
CMD-000085;C2023-000085;CLI-00718;SIT-00892;COM-0008;Partenaire;2023-09-13;2023-09-19;2023-09-20;livrée;4;8037.54;0;9645.05;EUR
CMD-000086;C2023-000086;CLI-00290;SIT-00358;COM-0002;Web;2023-09-13;2023-09-20;2023-09-22;livrée;1;11723.2;0;14067.84;EUR
CMD-000087;C2023-000087;CLI-00638;SIT-00781;COM-0008;Agence;2023-09-13;2023-09-22;2023-10-03;livrée;6;465.53;0;558.64;EUR
CMD-000088;C2023-000088;CLI-01786;SIT-02243;COM-0033;Partenaire;2023-09-13;2023-09-27;2023-10-02;livrée;3;6400.78;0;7680.94;EUR
CMD-000089;C2023-000089;CLI-00433;SIT-00521;COM-0017;Téléphone;2023-09-13;2023-09-21;2023-10-03;livrée;1;8.1;0;9.72;EUR
CMD-000090;C2023-000090;CLI-00408;SIT-00496;COM-0037;Agence;2023-09-13;2023-09-27;2023-10-06;livrée;2;2022.86;0;2427.43;EUR
CMD-000091;C2023-000091;CLI-00402;SIT-00490;COM-0044;Appel d’offres;2023-09-14;2023-09-18;2023-09-25;livrée;1;707.7;0;849.24;EUR
CMD-000092;C2023-000092;CLI-00792;;COM-0040;Web;2023-09-14;2023-09-21;2023-09-30;livrée;2;1229;2;1474.8;EUR
CMD-000093;C2023-000093;CLI-00603;;COM-0042;Appel d’offres;2023-09-14;2023-09-17;2023-09-17;livrée;2;237.96;0;285.55;EUR
CMD-000094;C2023-000094;CLI-00533;SIT-00650;COM-0017;Partenaire;2023-09-14;2023-09-23;2023-09-24;livrée;2;936.11;0;1123.33;EUR
CMD-000095;C2023-000095;CLI-01102;;COM-0003;Web;2023-09-14;2023-09-18;2023-09-20;livrée;2;46.45;0;55.74;EUR
CMD-000096;C2023-000096;CLI-00643;;COM-0010;Agence;2023-09-14;2023-09-25;2023-10-07;livrée;6;17799.52;0;21359.42;EUR
CMD-000097;C2023-000097;CLI-00981;SIT-01222;COM-0002;Web;2023-09-14;2023-09-20;2023-09-23;livrée;4;3399.01;0;4078.81;EUR
CMD-000098;C2023-000098;CLI-01640;;COM-0016;Partenaire;2023-09-14;2023-09-23;2023-09-21;livrée;1;8492.76;0;10191.31;EUR
CMD-000099;C2023-000099;CLI-01532;SIT-01934;COM-0019;Téléphone;2023-09-14;2023-09-27;2023-10-03;livrée;1;3005.6;0;3606.72;EUR
CMD-000100;C2023-000100;CLI-00144;SIT-00179;COM-0008;Appel d’offres;2023-09-14;2023-09-24;2023-09-22;livrée;1;22.38;0;26.86;EUR
CMD-000101;C2023-000101;CLI-00470;SIT-00569;COM-0021;Web;2023-09-14;2023-09-19;2023-09-24;livrée;1;533.87;0;640.64;EUR
CMD-000102;C2023-000102;CLI-00134;SIT-00164;COM-0056;Téléphone;2023-09-14;2023-09-28;2023-10-04;livrée;2;817.72;0;981.26;EUR
CMD-000103;C2023-000103;CLI-00381;SIT-00466;COM-0056;Téléphone;2023-09-14;2023-09-22;2023-09-24;livrée;3;2876.4;0;3451.68;EUR
CMD-000104;C2023-000104;CLI-00015;SIT-00016;COM-0023;Web;2023-09-14;2023-09-25;2023-10-06;livrée;6;6922.15;0;8306.58;EUR
CMD-000105;C2023-000105;CLI-01350;SIT-01699;COM-0057;Appel d’offres;2023-09-14;2023-09-24;2023-09-25;livrée;1;7081.88;0;8498.26;EUR
CMD-000106;C2023-000106;CLI-00995;SIT-01237;COM-0003;Partenaire;2023-09-14;2023-09-25;;annulée;4;449.11;0;538.93;EUR
CMD-000107;C2023-000107;CLI-00810;SIT-00995;COM-0007;Appel d’offres;2023-09-14;2023-09-20;2023-09-29;livrée;1;124.02;0;148.82;EUR
CMD-000108;C2023-000108;CLI-01208;SIT-01507;COM-0051;Web;2023-09-14;2023-09-19;2023-09-19;livrée;2;9263.92;5;11116.7;EUR
CMD-000109;C2023-000109;CLI-00178;SIT-00224;COM-0040;Téléphone;2023-09-14;2023-09-18;2023-09-22;livrée;1;24.12;5;28.94;EUR
CMD-000110;C2023-000110;CLI-01500;SIT-01887;COM-0055;Appel d’offres;2023-09-14;2023-09-22;2023-09-28;livrée;1;438.52;0;526.22;EUR
CMD-000111;C2023-000111;CLI-00525;;COM-0042;Partenaire;2023-09-14;2023-09-20;2023-08-31;livrée;1;23.78;0;28.54;EUR
CMD-000112;C2023-000112;CLI-00500;SIT-00613;COM-0032;Téléphone;2023-09-14;2023-09-20;2023-09-23;livrée;3;3650.6;0;4380.72;EUR
CMD-000113;C2023-000113;CLI-00677;;COM-0016;Agence;2023-09-14;2023-09-23;2023-10-03;livrée;3;224.26;0;269.11;EUR
CMD-000114;C2023-000114;CLI-00503;SIT-00615;COM-0044;Partenaire;2023-09-14;2023-09-21;2023-09-26;livrée;5;2419.47;0;2903.36;EUR
CMD-000115;C2023-000115;CLI-02119;;COM-0037;Partenaire;14/09/2023;2023-09-17;2023-09-16;livrée;4;3137.55;0;3765.06;EUR
CMD-000116;C2023-000116;CLI-00528;SIT-00643;COM-0016;Partenaire;2023-09-14;2023-09-20;2023-09-26;livrée;1;94.19;0;113.03;EUR
CMD-000117;C2023-000117;CLI-02052;SIT-02567;COM-0029;Partenaire;2023-09-14;2023-09-23;2023-09-26;livrée;1;905.69;0;1086.83;EUR
CMD-000118;C2023-000118;CLI-00499;;COM-0016;Appel d’offres;2023-09-14;2023-09-21;;annulée;4;604.58;0;725.5;EUR
CMD-000119;C2023-000119;CLI-00415;SIT-00503;COM-0057;Agence;2023-09-14;2023-09-29;2023-10-02;livrée;2;47.92;0;57.5;EUR
CMD-000120;C2023-000120;CLI-00740;SIT-00916;COM-0043;Partenaire;2023-09-15;2023-09-30;2023-09-30;livrée;4;6514.75;10;7817.7;EUR
CMD-000121;C2023-000121;CLI-01959;SIT-02449;COM-0047;Agence;2023-09-15;2023-09-18;;annulée;3;5776.74;0;6932.09;EUR
CMD-000122;C2023-000122;CLI-02020;SIT-02527;COM-0014;Téléphone;2023-09-15;2023-09-28;2023-10-02;livrée;4;385.77;0;462.92;EUR
CMD-000123;C2023-000123;CLI-02454;SIT-03089;COM-0023;Appel d’offres;2023-09-15;2023-09-25;2023-09-29;livrée;3;10719.12;0;12862.94;EUR
CMD-000124;C2023-000124;CLI-01405;SIT-01770;COM-0045;Téléphone;2023-09-15;2023-09-19;2023-09-17;livrée;4;45126.72;0;54152.06;EUR
CMD-000125;C2023-000125;CLI-02182;;COM-0011;Partenaire;2023-09-15;2023-09-19;2023-09-20;livrée;1;175.01;0;210.01;EUR
CMD-000126;C2023-000126;CLI-02342;SIT-02935;COM-0037;Téléphone;2023-09-15;2023-09-25;2023-10-05;livrée;2;185.58;5;222.7;EUR
CMD-000127;C2023-000127;CLI-00546;SIT-00664;COM-0001;Agence;2023-09-15;2023-09-19;2023-09-19;livrée;2;3876.55;5;4651.86;EUR
CMD-000128;C2023-000128;CLI-00180;SIT-00226;COM-0046;Web;2023-09-15;2023-09-24;2023-09-24;livrée;2;5720.58;2;6864.7;EUR
CMD-000129;C2023-000129;CLI-00910;;COM-0045;Web;2023-09-15;2023-09-27;2023-10-07;livrée;4;20907.74;0;25089.29;EUR
CMD-000130;C2023-000130;CLI-00970;SIT-01208;COM-0040;Téléphone;15/09/2023;2023-09-19;2023-09-19;livrée;6;14615.58;0;17538.7;EUR
CMD-000131;C2023-000131;CLI-00050;;COM-0052;Partenaire;2023-09-15;2023-09-19;2023-09-25;livrée;3;1443.25;0;1731.9;EUR
CMD-000132;C2023-000132;CLI-00909;SIT-01121;COM-0018;Appel d’offres;2023-09-15;2023-09-19;2023-10-01;livrée;4;4779.24;0;5735.09;EUR
CMD-000133;C2023-000133;CLI-00820;SIT-01005;COM-0007;Agence;2023-09-15;2023-09-22;2023-09-20;livrée;1;26.78;0;32.14;EUR
CMD-000134;C2023-000134;CLI-00008;SIT-00008;COM-0041;Téléphone;2023-09-15;2023-09-22;2023-09-26;livrée;3;3902.69;0;4683.23;EUR
CMD-000135;C2023-000135;CLI-01847;SIT-02310;COM-0058;Agence;2023-09-15;2023-09-27;2023-09-29;livrée;4;12695.33;10;15234.4;EUR
CMD-000136;C2023-000136;CLI-02483;SIT-03123;COM-0020;Appel d’offres;2023-09-15;2023-09-30;2023-10-02;livrée;1;1410.7;10;1692.84;EUR
CMD-000137;C2023-000137;CLI-02465;SIT-03102;COM-0032;Web;15/09/2023;2023-09-24;2023-09-26;livrée;1;169.35;0;203.22;EUR
CMD-000138;C2023-000138;CLI-02035;SIT-02548;COM-0043;Téléphone;2023-09-15;2023-09-18;2023-09-18;livrée;3;8561.97;2;10274.36;EUR
CMD-000139;C2023-000139;CLI-01494;SIT-01879;COM-0050;Agence;2023-09-15;2023-09-28;2023-09-28;livrée;5;19654.92;0;23585.9;EUR
CMD-000140;C2023-000140;CLI-00056;;COM-0008;Partenaire;2023-09-15;2023-09-27;2023-10-05;livrée;2;1389.96;0;1667.95;EUR
CMD-000141;C2023-000141;CLI-01115;;COM-0017;Téléphone;2023-09-15;2023-09-25;2023-09-24;livrée;4;1340.71;0;1608.85;EUR
CMD-000142;C2023-000142;CLI-02058;SIT-02579;COM-0058;Web;2023-09-15;2023-09-22;2023-09-23;livrée;1;93.2;10;111.84;EUR
CMD-000143;C2023-000143;CLI-02389;SIT-03001;COM-0046;Partenaire;2023-09-15;2023-09-20;2023-09-24;livrée;5;10423.18;0;12507.82;EUR
CMD-000144;C2023-000144;CLI-02080;;COM-0058;Web;2023-09-15;2023-09-21;2023-09-27;livrée;2;7895.26;2;9474.31;EUR
CMD-000145;C2023-000145;CLI-00232;SIT-00296;COM-0053;Partenaire;2023-09-15;2023-09-21;2023-09-21;livrée;4;1408.41;2;1690.09;EUR
CMD-000146;C2023-000146;CLI-00527;SIT-00641;COM-0007;Agence;2023-09-15;2023-09-18;2023-09-22;livrée;1;4501.6;2;5401.92;EUR
CMD-000147;C2023-000147;CLI-02206;SIT-02789;COM-0036;Agence;2023-09-15;2023-09-29;2023-10-09;livrée;1;2038.46;0;2446.15;EUR
CMD-000148;C2023-000148;CLI-01597;SIT-02007;COM-0008;Agence;2023-09-15;2023-09-29;2023-10-09;livrée;3;227.73;0;273.28;EUR
CMD-000149;C2025-016837;CLI-01805;SIT-02257;COM-0028;Partenaire;2023-09-15;2023-09-27;2023-10-02;livrée;2;2467.29;5;2960.75;EUR
CMD-000150;C2023-000150;CLI-02258;SIT-02850;COM-0004;Partenaire;2023-09-15;2023-09-21;2023-09-26;livrée;3;646.64;0;775.97;EUR
CMD-000151;C2023-000151;CLI-01490;;COM-0052;Agence;2023-09-15;2023-09-28;2023-10-09;livrée;4;15633.1;0;18759.72;EUR
CMD-000152;C2023-000152;CLI-01342;SIT-01688;COM-0004;Téléphone;2023-09-16;2023-09-27;2023-10-03;livrée;3;3055.67;10;3666.8;EUR
CMD-000153;C2023-000153;CLI-00042;SIT-00043;COM-0018;Partenaire;2023-09-16;2023-09-30;2023-09-30;livrée;3;13230.61;2;15876.73;EUR
CMD-000154;C2023-000154;CLI-00108;SIT-00124;COM-0023;Agence;2023-09-16;2023-09-20;2023-09-22;livrée;2;105.99;0;127.19;EUR
CMD-000155;C2023-000155;CLI-02119;;COM-0037;Appel d’offres;2023-09-16;2023-09-29;2023-09-28;livrée;2;371.75;10;446.1;EUR
CMD-000156;C2023-000156;CLI-00146;SIT-00184;COM-0057;Appel d’offres;2023-09-16;2023-09-30;2023-10-03;livrée;1;637.35;0;764.82;EUR
CMD-000157;C2023-000157;CLI-02394;SIT-03010;COM-0047;Web;2023-09-16;2023-09-30;2023-10-08;livrée;3;907.04;0;1088.45;EUR
CMD-000158;C2023-000158;CLI-01492;SIT-01877;COM-0046;Téléphone;2023-09-16;2023-09-25;2023-10-06;livrée;3;2434.08;0;2920.9;EUR
CMD-000159;C2023-000159;CLI-02442;;COM-0040;Appel d’offres;2023-09-16;2023-09-25;2023-09-29;livrée;2;8863.93;0;10636.72;EUR
CMD-000160;C2023-000160;CLI-01173;SIT-01469;COM-0034;Web;2023-09-16;2023-09-20;2023-09-23;livrée;4;3854.42;0;4625.3;EUR
CMD-000161;C2023-000161;CLI-01848;SIT-02311;COM-0042;Agence;2023-09-17;2023-09-24;2023-10-04;livrée;1;242.56;0;291.07;EUR
CMD-000162;C2023-000162;CLI-00890;SIT-01103;COM-0051;Téléphone;2023-09-17;2023-09-24;2023-09-29;livrée;1;30.94;0;37.13;EUR
CMD-000163;C2023-000163;CLI-01886;;COM-0014;Web;2023-09-17;2023-09-23;2023-10-02;livrée;1;94.19;10;113.03;EUR
CMD-000164;C2023-000164;CLI-02072;SIT-02601;COM-0005;Partenaire;2023-09-17;2023-09-22;2023-09-30;livrée;1;2511.68;0;3014.02;EUR
CMD-000165;C2023-000165;CLI-01637;SIT-02058;COM-0056;Agence;2023-09-17;2023-09-30;2023-09-30;livrée;1;8125.26;0;9750.31;EUR
CMD-000166;C2023-000166;CLI-00054;SIT-00070;COM-0007;Partenaire;2023-09-17;2023-10-02;2023-10-09;livrée;1;90.61;0;108.73;EUR
CMD-000167;C2023-000167;CLI-01798;;COM-0031;Agence;2023-09-17;2023-09-29;2023-10-11;livrée;2;312.14;0;374.57;EUR
CMD-000168;C2023-000168;CLI-00032;SIT-00033;COM-0042;Agence;2023-09-17;2023-09-22;;annulée;1;2677.43;0;3212.92;EUR
CMD-000169;C2023-000169;CLI-00896;SIT-01107;COM-0060;Web;2023-09-17;2023-09-26;;annulée;2;1168.21;0;1401.85;EUR
CMD-000170;C2023-000170;CLI-00490;SIT-00596;COM-0044;Agence;2023-09-17;2023-10-01;2023-10-13;livrée;1;696.08;5;835.3;EUR
CMD-000171;C2023-000171;CLI-01234;;COM-0017;Partenaire;2023-09-18;2023-09-30;2023-10-09;livrée;2;281.13;0;337.36;EUR
CMD-000172;C2023-000172;CLI-01765;SIT-02219;COM-0011;Téléphone;2023-09-18;2023-10-01;;annulée;1;914.38;0;1097.26;EUR
CMD-000173;C2023-000173;CLI-01733;SIT-02183;COM-0016;Appel d’offres;2023-09-18;2023-09-30;2023-09-28;livrée;3;515.54;0;618.65;EUR
