id_releve;id_site;horodatage;energie_kwh;puissance_max_kw;temperature_c;qualite_mesure
REL-0000029;SIT-00001;2025-09-11 04:00:00;21.12;34.8;14;valide
REL-0000030;SIT-00001;2025-09-11 05:00:00;23.93;46.3;14.6;valide
REL-0000031;SIT-00001;2025-09-11 06:00:00;59.15;105.8;20.7;valide
REL-0000032;SIT-00001;2025-09-11 07:00:00;53.71;96.3;19.8;valide
REL-0000033;SIT-00001;2025-09-11 08:00:00;103.61;156.3;18.2;valide
REL-0000034;SIT-00001;2025-09-11 09:00:00;107.36;210.6;22;valide
REL-0000035;SIT-00001;2025-09-11 10:00:00;105.03;189.3;21.3;valide
REL-0000036;SIT-00001;2025-09-11 11:00:00;102.15;199.7;21.3;valide
REL-0000037;SIT-00001;2025-09-11 12:00:00;89.8;142.9;20.3;valide
REL-0000038;SIT-00001;2025-09-11 13:00:00;85.97;150.3;22.1;valide
REL-0000039;SIT-00001;2025-09-11 14:00:00;95.2;199.8;20.6;valide
REL-0000040;SIT-00001;2025-09-11 15:00:00;109.64;159.1;18;valide
REL-0000041;SIT-00001;2025-09-11 16:00:00;104.97;173.6;17.8;valide
REL-0000042;SIT-00001;2025-09-11 17:00:00;97.01;171.5;18.6;valide
REL-0000043;SIT-00001;2025-09-11 18:00:00;59.32;98.2;17.1;valide
REL-0000044;SIT-00001;2025-09-11 19:00:00;63.32;98.7;17.4;valide
REL-0000045;SIT-00001;2025-09-11 20:00:00;61.74;96.6;14;valide
REL-0000046;SIT-00001;2025-09-11 21:00:00;28.65;44.7;14.7;valide
REL-0000047;SIT-00001;2025-09-11 22:00:00;31.45;67.3;11.7;valide
REL-0000048;SIT-00001;2025-09-11 23:00:00;29.05;61.8;12.1;valide
REL-0000049;SIT-00001;2025-09-12 00:00:00;22.66;44.6;13;estimée
REL-0000050;SIT-00001;2025-09-12 01:00:00;24.41;40.4;13.4;valide
REL-0000051;SIT-00001;2025-09-12 02:00:00;21.88;46.7;12.5;valide
REL-0000052;SIT-00001;2025-09-12 03:00:00;24.58;34.8;12.8;valide
REL-0000053;SIT-00001;2025-09-12 04:00:00;24.46;36.2;16.1;estimée
REL-0000054;SIT-00001;2025-09-12 05:00:00;23.22;48.3;15.4;valide
REL-0000055;SIT-00001;2025-09-12 05:00:00;23.22;48.3;15.4;valide
REL-0000056;SIT-00001;2025-09-12 06:00:00;58.02;105.4;17.3;valide
REL-0000057;SIT-00001;2025-09-12 07:00:00;55.62;119.1;18.8;valide
REL-0000058;SIT-00001;2025-09-12 08:00:00;96.8;167.3;19.6;valide
REL-0000059;SIT-00001;2025-09-12 09:00:00;110.93;216.6;23.1;valide
REL-0000060;SIT-00001;2025-09-12 10:00:00;99.05;157.3;19.8;valide
REL-0000061;SIT-00001;2025-09-12 11:00:00;100.37;192.5;19.1;valide
REL-0000062;SIT-00001;2025-09-12 12:00:00;90.55;169;20.9;valide
REL-0000063;SIT-00001;2025-09-12 13:00:00;83.21;175.5;17.8;valide
REL-0000064;SIT-00001;2025-09-12 14:00:00;105.82;164.5;18.9;valide
REL-0000065;SIT-00001;2025-09-12 15:00:00;96.71;189.2;19;valide
REL-0000066;SIT-00001;2025-09-12 16:00:00;105.7;202.3;18.3;valide
REL-0000067;SIT-00001;2025-09-12 17:00:00;110.41;227.8;18.6;valide
REL-0000068;SIT-00001;2025-09-12 18:00:00;61.94;98.1;17.4;valide
REL-0000069;SIT-00001;2025-09-12 19:00:00;62.07;116;16.5;valide
REL-0000070;SIT-00001;2025-09-12 20:00:00;66.16;98.7;18.5;valide
REL-0000071;SIT-00001;2025-09-12 21:00:00;29.23;62.7;14.4;valide
REL-0000072;SIT-00001;2025-09-12 22:00:00;32.61;54.3;13.5;valide
REL-0000073;SIT-00001;2025-09-12 23:00:00;30.86;58.8;12.9;valide
REL-0000074;SIT-00001;2025-09-13 00:00:00;9.05;14.8;12.4;valide
REL-0000075;SIT-00001;2025-09-13 01:00:00;9.52;15.7;13.5;valide
REL-0000076;SIT-00001;2025-09-13 02:00:00;8.64;12.3;10.6;valide
REL-0000077;SIT-00001;2025-09-13 03:00:00;9.09;13.4;11.8;valide
REL-0000078;SIT-00001;2025-09-13 04:00:00;8.69;18.3;14;valide
REL-0000079;SIT-00001;2025-09-13 05:00:00;8.56;16.2;15.8;valide
REL-0000080;SIT-00001;2025-09-13 06:00:00;24.28;41.8;18.4;valide
REL-0000081;SIT-00001;2025-09-13 07:00:00;23.26;34.4;17.3;valide
REL-0000082;SIT-00001;2025-09-13 08:00:00;42.54;76.6;17.7;valide
REL-0000083;SIT-00001;2025-09-13 09:00:00;41.44;70.3;21.2;valide
REL-0000084;SIT-00001;2025-09-13 10:00:00;40.48;79.5;18.8;valide
REL-0000085;SIT-00001;2025-09-13 11:00:00;42.33;69.3;20.7;valide
REL-0000086;SIT-00001;2025-09-13 12:00:00;36.33;77.8;19.5;valide
REL-0000087;SIT-00001;2025-09-13 13:00:00;35.39;73.3;20.2;valide
REL-0000088;SIT-00001;2025-09-13 14:00:00;42.23;79.8;18.9;valide
REL-0000089;SIT-00001;2025-09-13 15:00:00;38.39;80.9;19.6;valide
REL-0000090;SIT-00001;2025-09-13 16:00:00;44.45;85.3;19.1;valide
REL-0000091;SIT-00001;2025-09-13 17:00:00;42.44;88.4;18.6;valide
REL-0000092;SIT-00001;2025-09-13 18:00:00;23.51;35.9;16.8;valide
REL-0000093;SIT-00001;2025-09-13 19:00:00;25.37;44.4;15.9;valide
REL-0000094;SIT-00001;2025-09-13 20:00:00;26.86;50.6;15.8;valide
REL-0000095;SIT-00001;2025-09-13 21:00:00;12.58;27.2;13.7;valide
REL-0000096;SIT-00001;2025-09-13 22:00:00;12.36;26.9;11.7;valide
REL-0000097;SIT-00001;2025-09-13 23:00:00;12.3;20.2;11.2;valide
REL-0000098;SIT-00001;2025-09-14 00:00:00;9.89;19;12.7;valide
REL-0000099;SIT-00001;2025-09-14 01:00:00;8.84;18.1;12.6;valide
REL-0000100;SIT-00001;2025-09-14 02:00:00;9.32;17.3;12.5;valide
REL-0000101;SIT-00001;2025-09-14 03:00:00;9.34;17;13.2;valide
REL-0000102;SIT-00001;2025-09-14 04:00:00;9.03;13.4;15.6;valide
REL-0000103;SIT-00001;2025-09-14 05:00:00;8.55;16.1;15.3;valide
REL-0000104;SIT-00001;2025-09-14 06:00:00;23.06;35.1;15.9;valide
REL-0000105;SIT-00001;2025-09-14 07:00:00;23.24;41.6;16.1;valide
REL-0000106;SIT-00001;2025-09-14 08:00:00;42.4;74.1;20.1;valide
REL-0000107;SIT-00001;2025-09-14 09:00:00;40.02;75.1;19.5;valide
REL-0000108;SIT-00001;2025-09-14 10:00:00;39.12;72.9;20.9;valide
REL-0000109;SIT-00001;2025-09-14 11:00:00;45;76.6;19.4;valide
REL-0000110;SIT-00001;2025-09-14 12:00:00;33.27;69.2;19.9;valide
REL-0000111;SIT-00001;2025-09-14 13:00:00;35.12;59.6;21.6;valide
REL-0000112;SIT-00001;2025-09-14 15:00:00;39.3;62.8;19.2;valide
REL-0000113;SIT-00001;2025-09-14 16:00:00;39.93;70.7;18.7;valide
REL-0000114;SIT-00001;2025-09-14 17:00:00;39.92;80.3;16.8;valide
REL-0000115;SIT-00001;2025-09-14 18:00:00;25.35;44;17.5;valide
REL-0000116;SIT-00001;2025-09-14 19:00:00;25.55;54.2;15.5;valide
REL-0000117;SIT-00001;2025-09-14 20:00:00;23.84;38.3;14.7;valide
REL-0000118;SIT-00001;2025-09-14 21:00:00;11.93;23.4;15.5;valide
REL-0000119;SIT-00001;2025-09-14 22:00:00;13.31;29;10.6;valide
REL-0000120;SIT-00001;2025-09-14 23:00:00;13.18;28.4;10.8;valide
REL-0000121;SIT-00001;2025-09-15 00:00:00;22;40.9;12.7;valide
REL-0000122;SIT-00001;2025-09-15 01:00:00;21.41;42.6;12.7;valide
REL-0000123;SIT-00001;2025-09-15 02:00:00;22.95;39;12.9;valide
REL-0000124;SIT-00001;2025-09-15 03:00:00;21.92;31.1;12.8;valide
REL-0000125;SIT-00001;2025-09-15 04:00:00;22.88;41.3;13.9;valide
REL-0000126;SIT-00001;2025-09-15 05:00:00;21.55;44.4;17.3;valide
REL-0000127;SIT-00001;2025-09-15 06:00:00;61.36;101.8;20.2;valide
REL-0000128;SIT-00001;2025-09-15 07:00:00;59.39;113.3;17.7;valide
REL-0000129;SIT-00001;2025-09-15 08:00:00;104.89;194.9;18.8;valide
REL-0000130;SIT-00001;2025-09-15 09:00:00;113.38;239.7;20.6;valide
REL-0000131;SIT-00001;2025-09-15 10:00:00;109.02;208.5;18.1;valide
REL-0000132;SIT-00001;2025-09-15 11:00:00;102.28;192;20.3;valide
REL-0000133;SIT-00001;2025-09-15 12:00:00;94.8;150.6;21;valide
REL-0000134;SIT-00001;2025-09-15 13:00:00;83.25;148.7;20.6;valide
REL-0000135;SIT-00001;2025-09-15 14:00:00;112.85;248;20.1;valide
REL-0000136;SIT-00001;2025-09-15 15:00:00;99.09;201.8;20.7;valide
REL-0000137;SIT-00001;2025-09-15 16:00:00;100.45;164.3;21.8;valide
REL-0000138;SIT-00001;2025-09-15 17:00:00;109.19;194.5;18.7;valide
REL-0000139;SIT-00001;2025-09-15 18:00:00;62.39;96.3;15;valide
REL-0000140;SIT-00001;2025-09-15 19:00:00;61.49;90.3;16.4;valide
REL-0000141;SIT-00001;2025-09-15 20:00:00;61.05;106.2;13.8;valide
REL-0000142;SIT-00001;2025-09-15 21:00:00;33.68;66.7;13.5;valide
REL-0000143;SIT-00001;2025-09-15 22:00:00;32.2;51.8;13;valide
REL-0000144;SIT-00001;2025-09-15 23:00:00;33.23;71.5;12.3;valide
REL-0000145;SIT-00001;2025-09-16 00:00:00;24.49;53.3;11.1;valide
REL-0000146;SIT-00001;2025-09-16 01:00:00;23.13;48;13;valide
REL-0000147;SIT-00001;2025-09-16 02:00:00;24.05;52.7;12.9;valide
REL-0000148;SIT-00001;2025-09-16 03:00:00;23.71;51.4;11.9;valide
REL-0000149;SIT-00001;2025-09-16 04:00:00;23.07;44.4;15.1;valide
REL-0000150;SIT-00001;2025-09-16 05:00:00;22.29;44.9;14.6;valide
REL-0000151;SIT-00001;2025-09-16 06:00:00;58.93;107.1;14.5;valide
REL-0000152;SIT-00001;2025-09-16 07:00:00;59.43;116.5;16.5;valide
REL-0000153;SIT-00001;2025-09-16 08:00:00;111.79;204.3;20;valide
REL-0000154;SIT-00001;2025-09-16 09:00:00;107.86;182.6;17.2;valide
REL-0000155;SIT-00001;2025-09-16 10:00:00;100;147.9;19.4;valide
REL-0000156;SIT-00001;2025-09-16 11:00:00;98.78;166.6;21.6;estimée
REL-0000157;SIT-00001;2025-09-16 12:00:00;86.22;160.6;20.3;valide
REL-0000158;SIT-00001;2025-09-16 13:00:00;91.72;192.2;21.4;valide
REL-0000159;SIT-00001;2025-09-16 14:00:00;98.77;214.2;19.7;valide
REL-0000160;SIT-00001;2025-09-16 15:00:00;111.42;224.1;18.1;valide
REL-0000161;SIT-00001;2025-09-16 16:00:00;100.74;155.9;18.7;valide
REL-0000162;SIT-00001;2025-09-16 17:00:00;102.97;208.6;17;valide
REL-0000163;SIT-00001;2025-09-16 18:00:00;60.03;104.2;17.6;valide
REL-0000164;SIT-00001;2025-09-16 19:00:00;67.93;131;15.9;valide
REL-0000165;SIT-00001;2025-09-16 20:00:00;66.98;95.8;14.3;valide
REL-0000166;SIT-00001;2025-09-16 21:00:00;30.5;50.8;15.8;estimée
REL-0000167;SIT-00001;2025-09-16 22:00:00;32.64;48.4;11.1;valide
REL-0000168;SIT-00001;2025-09-16 23:00:00;30.94;60.5;12.2;valide
REL-0000169;SIT-00001;2025-09-17 00:00:00;23.18;46.2;12.2;valide
REL-0000170;SIT-00001;2025-09-17 01:00:00;21.59;42.6;11.1;valide
REL-0000171;SIT-00001;2025-09-17 02:00:00;24.83;44.5;13.3;valide
REL-0000172;SIT-00001;2025-09-17 03:00:00;22.89;37.3;12.7;valide
REL-0000173;SIT-00001;2025-09-17 04:00:00;23.96;50.7;13.5;valide
REL-0000174;SIT-00001;2025-09-17 05:00:00;23.52;43.5;15.6;valide
REL-0000175;SIT-00001;2025-09-17 06:00:00;59.11;124.9;17.3;valide
REL-0000176;SIT-00001;2025-09-17 07:00:00;55.5;99;16;valide
REL-0000177;SIT-00001;2025-09-17 08:00:00;108.24;170.6;18.5;valide
REL-0000178;SIT-00001;2025-09-17 09:00:00;114.58;213.3;20.3;valide
REL-0000179;SIT-00001;2025-09-17 10:00:00;111.86;216.4;18.2;valide
REL-0000180;SIT-00001;2025-09-17 11:00:00;99.25;190.4;21.4;valide
REL-0000181;SIT-00001;2025-09-17 12:00:00;97.1;137.2;20.2;valide
REL-0000182;SIT-00001;2025-09-17 13:00:00;90.03;144;18.3;estimée
REL-0000183;SIT-00001;2025-09-17 14:00:00;109.25;188.2;19.8;valide
REL-0000184;SIT-00001;2025-09-17 15:00:00;112.77;162.2;19;valide
REL-0000185;SIT-00001;2025-09-17 16:00:00;102.36;205.2;16.7;valide
REL-0000186;SIT-00001;2025-09-17 17:00:00;110.15;224.8;19.3;valide
REL-0000187;SIT-00001;2025-09-17 18:00:00;65.63;136.2;18;valide
REL-0000188;SIT-00001;2025-09-17 19:00:00;66.49;125.5;17.4;valide
REL-0000189;SIT-00001;2025-09-17 20:00:00;63.45;115.6;15.2;valide
REL-0000190;SIT-00001;2025-09-17 21:00:00;30;53.8;12.1;valide
REL-0000191;SIT-00001;2025-09-17 22:00:00;30.94;46.6;11.9;valide
REL-0000192;SIT-00001;2025-09-17 23:00:00;33.83;71.4;13.1;valide
REL-0000193;SIT-00001;2025-09-18 00:00:00;24.03;39.3;11.5;valide
REL-0000194;SIT-00001;2025-09-18 01:00:00;23.86;44.8;11.2;valide
REL-0000195;SIT-00001;2025-09-18 02:00:00;24.12;36.7;13.3;valide
REL-0000196;SIT-00001;2025-09-18 03:00:00;22.46;40.7;13.2;valide
REL-0000197;SIT-00001;2025-09-18 04:00:00;24.02;47.6;11.2;valide
REL-0000198;SIT-00001;2025-09-18 05:00:00;22.95;45.7;15.6;valide
REL-0000199;SIT-00001;2025-09-18 06:00:00;56.95;102.3;16.1;valide
REL-0000200;SIT-00001;2025-09-18 07:00:00;57.18;109.1;16.9;valide
REL-0000201;SIT-00001;2025-09-18 08:00:00;110.26;213.5;18.5;valide
REL-0000202;SIT-00001;2025-09-18 09:00:00;100.35;202.4;17.7;valide
REL-0000203;SIT-00001;2025-09-18 10:00:00;105.48;184.2;20.1;valide
REL-0000204;SIT-00001;2025-09-18 11:00:00;102.55;184.9;21;valide
REL-0000205;SIT-00001;2025-09-18 12:00:00;96.64;147.9;22.6;valide
REL-0000206;SIT-00001;2025-09-18 13:00:00;89.14;128.5;19.7;valide
REL-0000207;SIT-00001;2025-09-18 14:00:00;100.02;145.1;19.2;valide
REL-0000208;SIT-00001;2025-09-18 15:00:00;103.51;200.7;18.7;valide
REL-0000209;SIT-00001;2025-09-18 16:00:00;107.11;185.9;16.9;valide
REL-0000210;SIT-00001;2025-09-18 17:00:00;114.77;229.8;15.3;valide
REL-0000211;SIT-00001;2025-09-18 18:00:00;65.42;109.5;17;valide
REL-0000212;SIT-00001;2025-09-18 19:00:00;68.95;150.5;16.1;valide
REL-0000213;SIT-00001;2025-09-18 20:00:00;63;101.5;11.8;valide
REL-0000214;SIT-00001;2025-09-18 21:00:00;33.64;48;13;valide
REL-0000215;SIT-00001;2025-09-18 22:00:00;32.29;59.1;11.1;valide
REL-0000216;SIT-00001;2025-09-18 23:00:00;33.89;67.9;14.4;valide
REL-0000217;SIT-00001;2025-09-19 00:00:00;24.69;38.2;10.2;valide
REL-0000218;SIT-00001;2025-09-19 01:00:00;23.81;49.9;11.1;valide
REL-0000219;SIT-00001;2025-09-19 02:00:00;24.84;39.8;10.1;valide
REL-0000220;SIT-00001;2025-09-19 03:00:00;25.18;40.5;14.7;valide
REL-0000221;SIT-00001;2025-09-19 04:00:00;24.69;51.1;16.6;valide
REL-0000222;SIT-00001;2025-09-19 05:00:00;21.92;37.8;13.9;valide
REL-0000223;SIT-00001;2025-09-19 06:00:00;59.51;105.2;17.1;valide
REL-0000224;SIT-00001;2025-09-19 07:00:00;55.5;91.1;15.7;valide
REL-0000225;SIT-00001;2025-09-19 08:00:00;105.94;182.2;19.2;estimée
REL-0000226;SIT-00001;2025-09-19 09:00:00;113.17;246.7;19.4;estimée
REL-0000227;SIT-00001;2025-09-19 10:00:00;111.23;171.8;20.6;valide
REL-0000228;SIT-00001;2025-09-19 11:00:00;112.42;168.1;20.2;valide
REL-0000229;SIT-00001;2025-09-19 12:00:00;95.84;196.2;19.2;valide
REL-0000230;SIT-00001;2025-09-19 13:00:00;87.02;135.2;17.8;estimée
REL-0000231;SIT-00001;2025-09-19 14:00:00;104.47;173.7;19.5;valide
REL-0000232;SIT-00001;2025-09-19 15:00:00;108.06;172.6;17.4;valide
REL-0000233;SIT-00001;2025-09-19 16:00:00;99.55;215.3;17.6;valide
REL-0000234;SIT-00001;2025-09-19 17:00:00;111.18;184.6;18.1;valide
REL-0000235;SIT-00001;2025-09-19 18:00:00;69.09;149.5;13.9;valide
REL-0000236;SIT-00001;2025-09-19 19:00:00;64.51;112.2;15.9;valide
REL-0000237;SIT-00001;2025-09-19 20:00:00;64.42;107.9;15;valide
REL-0000238;SIT-00001;2025-09-19 21:00:00;34.66;53.9;14.1;valide
REL-0000239;SIT-00001;2025-09-19 22:00:00;29.86;57.1;13.7;valide
REL-0000240;SIT-00001;2025-09-19 23:00:00;30.65;54.7;14.8;valide
REL-0000241;SIT-00001;2025-09-20 00:00:00;9.93;18.9;11;valide
REL-0000242;SIT-00001;2025-09-20 01:00:00;9.65;13.7;9.6;valide
REL-0000243;SIT-00001;2025-09-20 02:00:00;9.52;19;13;valide
REL-0000244;SIT-00001;2025-09-20 03:00:00;8.85;16.9;12.4;valide
REL-0000245;SIT-00001;2025-09-20 04:00:00;8.79;13.7;12.9;valide
REL-0000246;SIT-00001;2025-09-20 05:00:00;9.94;21.4;15;valide
REL-0000247;SIT-00001;2025-09-20 06:00:00;24.93;53.8;14.4;valide
REL-0000248;SIT-00001;2025-09-20 07:00:00;22.38;32.7;17.4;estimée
REL-0000249;SIT-00001;2025-09-20 08:00:00;45.41;72.9;18;valide
REL-0000250;SIT-00001;2025-09-20 09:00:00;43.03;74.9;17.4;estimée
REL-0000251;SIT-00001;2025-09-20 10:00:00;43.59;83;19.2;valide
REL-0000252;SIT-00001;2025-09-20 11:00:00;46.1;72.8;22.4;valide
REL-0000253;SIT-00001;2025-09-20 12:00:00;36.62;57.4;19;valide
REL-0000254;SIT-00001;2025-09-20 13:00:00;35.5;63.7;21.8;valide
REL-0000255;SIT-00001;2025-09-20 14:00:00;41.39;85.9;19.6;valide
REL-0000256;SIT-00001;2025-09-20 15:00:00;41.83;87.5;19.5;valide
REL-0000257;SIT-00001;2025-09-20 16:00:00;44.51;72.4;17.9;valide
REL-0000258;SIT-00001;2025-09-20 17:00:00;46.65;89.1;17;valide
REL-0000259;SIT-00001;2025-09-20 18:00:00;27.3;47;16.7;valide
REL-0000260;SIT-00001;2025-09-20 19:00:00;25.67;36.4;14.7;valide
REL-0000261;SIT-00001;2025-09-20 20:00:00;26.22;36.9;13.7;valide
REL-0000262;SIT-00001;2025-09-20 21:00:00;12.8;21.5;13.4;valide
REL-0000263;SIT-00001;2025-09-20 22:00:00;12.85;20.4;12;valide
REL-0000264;SIT-00001;2025-09-20 23:00:00;12.16;23;9.8;valide
REL-0000265;SIT-00001;2025-09-21 00:00:00;9.78;18.1;11;valide
REL-0000266;SIT-00001;2025-09-21 01:00:00;10.31;17.1;13.7;valide
REL-0000267;SIT-00001;2025-09-21 03:00:00;9.99;21.9;11.4;valide
REL-0000268;SIT-00001;2025-09-21 04:00:00;9.8;19.5;12.3;valide
REL-0000269;SIT-00001;2025-09-21 05:00:00;10.14;20.5;14.8;valide
REL-0000270;SIT-00001;2025-09-21 06:00:00;24.2;49.7;16.3;valide
REL-0000271;SIT-00001;2025-09-21 07:00:00;22.88;44.7;17;valide
REL-0000272;SIT-00001;2025-09-21 08:00:00;41.83;85.7;18.3;valide
REL-0000273;SIT-00001;2025-09-21 09:00:00;46.4;100.7;16.8;valide
REL-0000274;SIT-00001;2025-09-21 10:00:00;40.14;61.7;19.4;valide
REL-0000275;SIT-00001;2025-09-21 11:00:00;41.84;76.4;20.1;valide
REL-0000276;SIT-00001;2025-09-21 12:00:00;39.83;80.4;19.3;valide
REL-0000277;SIT-00001;2025-09-21 13:00:00;38.38;60.9;20.3;valide
REL-0000278;SIT-00001;2025-09-21 14:00:00;46.07;82;19.5;valide
REL-0000279;SIT-00001;2025-09-21 15:00:00;46.68;100.8;17;valide
REL-0000280;SIT-00001;2025-09-21 16:00:00;45.66;96.3;16.7;valide
REL-0000281;SIT-00001;2025-09-21 17:00:00;40.04;68.3;18.3;valide
REL-0000282;SIT-00001;2025-09-21 18:00:00;27.47;58.1;15;valide
REL-0000283;SIT-00001;2025-09-21 19:00:00;27.68;56.2;15.1;valide
REL-0000284;SIT-00001;2025-09-21 20:00:00;26.5;40.7;15.6;valide
REL-0000285;SIT-00001;2025-09-21 21:00:00;12.79;27.9;12.6;valide
REL-0000286;SIT-00001;2025-09-21 22:00:00;13.11;20.1;9;valide
REL-0000287;SIT-00001;2025-09-21 23:00:00;12.9;25.8;11.1;valide
REL-0000288;SIT-00001;2025-09-22 00:00:00;25.49;43.2;11.7;valide
REL-0000289;SIT-00001;2025-09-22 01:00:00;24.28;52.5;12.1;valide
REL-0000290;SIT-00001;2025-09-22 02:00:00;25.62;54;7.9;valide
REL-0000291;SIT-00001;2025-09-22 03:00:00;24.82;41.2;13;valide
REL-0000292;SIT-00001;2025-09-22 04:00:00;24.89;53.1;12.1;valide
REL-0000293;SIT-00001;2025-09-22 05:00:00;24.21;34.3;12.2;valide
REL-0000294;SIT-00001;2025-09-22 06:00:00;56.49;87.4;14.9;valide
REL-0000295;SIT-00001;2025-09-22 07:00:00;59.26;97.5;17.3;valide
REL-0000296;SIT-00001;2025-09-22 08:00:00;114.19;250.4;17.6;valide
REL-0000297;SIT-00001;2025-09-22 09:00:00;111;209.7;17.8;valide
REL-0000298;SIT-00001;2025-09-22 10:00:00;115.63;177.9;18.8;valide
REL-0000299;SIT-00001;2025-09-22 11:00:00;106.9;218.9;19.1;valide
REL-0000300;SIT-00001;2025-09-22 12:00:00;100.08;171.2;18.7;valide
REL-0000301;SIT-00001;2025-09-22 13:00:00;87.51;159.8;17.8;valide
REL-0000302;SIT-00001;2025-09-22 14:00:00;117.49;202.5;18.5;valide
REL-0000303;SIT-00001;2025-09-22 15:00:00;104.13;217.7;17.4;valide
REL-0000304;SIT-00001;2025-09-22 16:00:00;108.54;178.7;18.8;valide
REL-0000305;SIT-00001;2025-09-22 17:00:00;101.23;156.3;16.5;valide
REL-0000306;SIT-00001;2025-09-22 18:00:00;70;109.3;15.9;valide
REL-0000307;SIT-00001;2025-09-22 19:00:00;68.85;101.4;14.5;valide
REL-0000308;SIT-00001;2025-09-22 20:00:00;69;115.9;15.4;valide
REL-0000309;SIT-00001;2025-09-22 21:00:00;32.97;68.3;12.7;valide
REL-0000310;SIT-00001;2025-09-22 22:00:00;34.04;52.6;10.2;valide
REL-0000311;SIT-00001;2025-09-22 23:00:00;34.54;65.2;13.3;valide
REL-0000312;SIT-00001;2025-09-23 00:00:00;24.92;38.4;10.2;valide
REL-0000313;SIT-00001;2025-09-23 01:00:00;22.44;32.1;12.6;valide
REL-0000314;SIT-00001;2025-09-23 02:00:00;22.48;49;10.4;valide
REL-0000315;SIT-00001;2025-09-23 03:00:00;24.49;42.9;11.7;estimée
REL-0000316;SIT-00001;2025-09-23 04:00:00;23.05;41.2;12.9;valide
REL-0000317;SIT-00001;2025-09-23 05:00:00;24.46;38.9;12.6;valide
REL-0000318;SIT-00001;2025-09-23 06:00:00;64.39;126.6;14.9;valide
REL-0000319;SIT-00001;2025-09-23 07:00:00;59.07;108.8;19;valide
REL-0000320;SIT-00001;2025-09-23 08:00:00;103.04;147.3;14.7;valide
REL-0000321;SIT-00001;2025-09-23 09:00:00;114.28;162.7;17.5;valide
REL-0000322;SIT-00001;2025-09-23 10:00:00;103.71;202.9;19.9;valide
REL-0000323;SIT-00001;2025-09-23 11:00:00;110.2;201.6;20.8;valide
REL-0000324;SIT-00001;2025-09-23 12:00:00;91.12;138.1;18.3;valide
REL-0000325;SIT-00001;2025-09-23 13:00:00;97.38;142.5;20;valide
REL-0000326;SIT-00001;2025-09-23 14:00:00;105.77;149.3;19.2;valide
REL-0000327;SIT-00001;2025-09-23 15:00:00;112.6;217;18.2;valide
REL-0000328;SIT-00001;2025-09-23 16:00:00;107.06;163.6;16.8;valide
REL-0000329;SIT-00001;2025-09-23 17:00:00;104.02;186.3;15.7;valide
REL-0000330;SIT-00001;2025-09-23 18:00:00;64.75;133.4;15.1;valide
REL-0000331;SIT-00001;2025-09-23 19:00:00;63.91;115.9;14.2;valide
REL-0000332;SIT-00001;2025-09-23 20:00:00;68.03;105.4;13;valide
REL-0000333;SIT-00001;2025-09-23 21:00:00;31.63;50.5;11.7;valide
REL-0000334;SIT-00001;2025-09-23 22:00:00;31.4;62.1;12.7;valide
